Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Proteinus ovalis	9267	Proteinus ovalis		Staphylinidae	Coleoptera	1				saprophagous	saprophagous	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter			Plantae	Proteinus		ovalis		NBNSYS0000023106	NBNSYS0000023106	R	Taxon
Proteroiulus fuscus	12312	Proteroiulus fuscus	Snake Millipede	Blaniulidae	Julida	1		LC	IUCN Threat listing (1)	saprophagous		tree-associated	decaying wood	conifer or broadleaved, sapwood & bark decay >> bark & cambium			Quercus	Proteroiulus		fuscus		NBNSYS0000011380	NBNSYS0000011380	R	Taxon
Protocalliphora azurea	9316	Protocalliphora azurea	Bird Blowfly	Calliphoridae	Diptera					haematophagous	saprophagous						Passeridae	Protocalliphora		azurea		NBNSYS0000030364	NBNSYS0000030364	R	Taxon
Protoclythia modesta	6050	Protoclythia modesta		Platypezidae	Diptera					fungivore	phytosaprophagous	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies			Plantae	Protoclythia		modesta		NBNSYS0000028795	NBNSYS0000028795	R	Taxon
Protoclythia rufa	6051	Protoclythia rufa		Platypezidae	Diptera					fungivore	phytosaprophagous	tree-associated	decaying wood; shaded woodland floor	conifer or broadleaved >> broadleaved only, fungal fruiting bodies, shadiness >> light shade, woodland habitat			Plantae	Protoclythia		rufa		NBNSYS0000028796	NBNSYS0000028796	R	Taxon
Protodeltote pygarga	5031	Protodeltote pygarga	Marbled White Spot	Noctuidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer				Protodeltote		pygarga		NBNSYS0100004889	NBNSYS0100004889	R	Taxon
Protolampra sobrina	12525	Protolampra sobrina	Cousin German	Noctuidae	Lepidoptera	4	Section 41 Priority Species	S41. Priority Species	Legal listing (1)			open habitats			F003			Protolampra		sobrina		NHMSYS0021144951	NHMSYS0021144951	R	Taxon
Protonemura meyeri	645	Protonemura meyeri		Nemouridae	Plecoptera	1		LC	IUCN Threat listing (1)	saprophagous	does not feed	wetland	running water					Protonemura		meyeri		NBNSYS0000022425	NBNSYS0000022425	R	Taxon
Protonemura montana	646	Protonemura montana		Nemouridae	Plecoptera	4	DD; NS	DD; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	does not feed	wetland	running water		W113			Protonemura		montana		NBNSYS0000022426	NBNSYS0000022426	R	Taxon
Protonemura praecox	647	Protonemura praecox		Nemouridae	Plecoptera	1		LC	IUCN Threat listing (1)	saprophagous	does not feed	wetland	running water					Protonemura		praecox		NBNSYS0000022427	NBNSYS0000022427	R	Taxon
Protophormia terraenovae	11023	Protophormia terraenovae		Calliphoridae	Diptera	1				saprophagous								Protophormia		terraenovae		NBNSYS0100004890	NBNSYS0100004890	R	Taxon
Protopiophila latipes	11717	Protopiophila latipes		Piophilidae	Diptera					necrophagous				dung & carrion >> carrion				Protopiophila		latipes		NBNSYS0100004891	NBNSYS0100004891	R	Taxon
Protopirapion atratulum	10081	Protopirapion atratulum		Apionidae	Coleoptera	1						open habitats			F001, F003			Protopirapion		atratulum		NBNSYS0000025048	NBNSYS0000025048	R	Taxon
Protoschinia scutosa	5032	Protoschinia scutosa	Spotted Clover	Noctuidae	Lepidoptera					herbivore	nectivore							Protoschinia		scutosa		NHMSYS0021144534	NHMSYS0021144534	R	Taxon
