Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Bagous lutosus	1368	Bagous lutosus		Curculionidae	Coleoptera	16	[RDB 1]	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	wetland	running water	shallow freshwater pond, wetland vegetation				Bagous		lutosus		NBNSYS0000025303	NBNSYS0000025303	R	Taxon
Bagous lutulentus	1369	Bagous lutulentus		Curculionidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated				Bagous		lutulentus		NBNSYS0000025304	NBNSYS0000025304	R	Taxon
Bagous lutulosus	1370	Bagous lutulosus		Curculionidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	wetland	acid & sedge peats	deep litter, shallow freshwater pond				Bagous		lutulosus		NBNSYS0000025298	NBNSYS0000025298	R	Taxon
Bagous nodulosus	1371	Bagous nodulosus	Flowering Rush Weevil	Curculionidae	Coleoptera	16	RDB 1; Section 41 Priority Species	S41. Priority Species; [Threat]	Legal listing (1); [IUCN Threat listing] (1)	herbivore	herbivore	wetland	lake; marshland	lakeside emergent/aquatic vegetation, shallow freshwater pond >> aquatic: well vegetated				Bagous		nodulosus		NBNSYS0000025299	NBNSYS0000025299	R	Taxon
Bagous petro	10375	Bagous petro		Curculionidae	Coleoptera	32	Extinct	RE	IUCN Threat listing (1)									Bagous		petro		NBNSYS0000025286	NBNSYS0000025286	R	Taxon
Bagous puncticollis	1372	Bagous puncticollis		Curculionidae	Coleoptera	16	[RDB 1]	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	wetland	marshland	shallow freshwater pond >> aquatic: well vegetated				Bagous		puncticollis		NBNSYS0000025305	NBNSYS0000025305	R	Taxon
Bagous subcarinatus	1373	Bagous subcarinatus		Curculionidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	wetland	lake; marshland	lakeside emergent/aquatic vegetation, shallow freshwater pond >> aquatic: well vegetated			Ceratophyllum submersum	Bagous		subcarinatus		NBNSYS0000025300	NBNSYS0000025300	R	Taxon
Bagous tempestivus	1374	Bagous tempestivus		Curculionidae	Coleoptera	4	[Nb]	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	wetland	running water	flow >> slow flow				Bagous		tempestivus		NBNSYS0000025301	NBNSYS0000025301	R	Taxon
Bagous tubulus	1375	Bagous tubulus		Curculionidae	Coleoptera	8	[RDB 2]	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated			Glyceria	Bagous		tubulus		NHMSYS0020919944	NHMSYS0020919944	R	Taxon
Balclutha punctata	1839	Balclutha punctata		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Poaceae	Balclutha		punctata		NHMSYS0020705244	NHMSYS0020705244	R	Taxon
Balclutha saltuella	1840	Balclutha saltuella		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry				Balclutha		saltuella		NBNSYS0100001908	NBNSYS0100001908	R	Taxon
Baldia johnstoni	12816	Baldia johnstoni		Capitellidae		4	NS (marine)	Nationally Scarce (marine species)	GB Rarity listing (1)									Baldia		johnstoni		NBNSYS0000174083	NBNSYS0000174083	R	Taxon
Balea biplicata	12741	Balea (Alinda) biplicata	Thames Door Snail	Clausiliidae	Pulmonata	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)									Balea	Alinda	biplicata		NBNSYS0100001909	NHMSYS0001701922	R	Taxon
Balea perversa	12742	Balea (Balea) perversa	Tree Snail	Clausiliidae	Pulmonata	1		LC	IUCN Threat listing (1)									Balea	Balea	perversa		NHMSYS0000343110	NHMSYS0001701925	R	Taxon
Ballus chalybeius	6753	Ballus chalybeius		Salticidae	Araneae	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, foliage			Arthropoda, Fagales, Quercus	Ballus		chalybeius		NBNSYS0000008768	NBNSYS0000008768	R	Taxon
Bankesia conspurcatella	12555	Bankesia conspurcatella		Psychidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	saprophagous		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> old			Asteraceae	Bankesia		conspurcatella		NHMSYS0020705508	NHMSYS0020705508	R	Taxon
Bankesia douglasii	12556	Bankesia douglasii	Hampshire Smoke	Psychidae	Lepidoptera	4												Bankesia		douglasii		NHMSYS0000501446	NHMSYS0000501446	R	Taxon
Baris analis	1376	Baris analis		Curculionidae	Coleoptera	8	[RDB 2]	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	coastal; open habitats; wetland	running water; sea cliff; short sward & bare ground	habitats >> sward/field layer, seepages >> soft rock cliff seepage, seepages >> unshaded seepage, soil humidity >> damp	F111, F113	seepage (soft rock cliff): A, soft rock cliff: 1	Pulicaria	Baris		analis		NBNSYS0000025432	NBNSYS0000025432	R	Taxon
Barynotus moerens	1377	Barynotus moerens		Curculionidae	Coleoptera	1				herbivore	herbivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> undergrowth			Mercurialis perennis, Plantae	Barynotus		moerens		NBNSYS0000025171	NHMSYS0020151481	R	Taxon
Barynotus obscurus	1378	Barynotus obscurus	Ground Weevil	Curculionidae	Coleoptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry		calcareous grassland: Low	Asteraceae	Barynotus		obscurus		NBNSYS0000025172	NHMSYS0020151482	R	Taxon
Barynotus squamosus	1379	Barynotus squamosus		Curculionidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	open habitats	tall sward & scrub; upland	habitats >> sward/field layer, soil humidity >> damp	F003, F221		Asteraceae	Barynotus		squamosus		NBNSYS0000025173	NBNSYS0000025173	R	Taxon
Barypeithes sulcifrons	1380	Barypeithes sulcifrons		Curculionidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> soil & roots, habitats >> sward/field layer, soil humidity >> dry		soft rock cliff: 3		Barypeithes		sulcifrons		NBNSYS0000025157	NBNSYS0000025157	R	Taxon
Baryphyma gowerense	6425	Baryphyma gowerense		Linyphiidae	Araneae	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats				Arthropoda	Baryphyma		gowerense		NBNSYS0000009014	NBNSYS0000009014	R	Taxon
Baryphyma maritimum	6426	Baryphyma maritimum		Linyphiidae	Araneae	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111		Arthropoda	Baryphyma		maritimum		NBNSYS0000009016	NBNSYS0000009016	R	Taxon
Baryphyma pratense	6427	Baryphyma pratense		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	deep litter, wetland vegetation			Animalia	Baryphyma		pratense		NBNSYS0000009012	NBNSYS0000009012	R	Taxon
Baryphyma trifrons	6428	Baryphyma trifrons		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	deep litter			Arthropoda	Baryphyma		trifrons		NBNSYS0000009015	NBNSYS0000009015	R	Taxon
Basilia nana	984	Basilia nana		Nycteribiidae	Diptera	1				haematophagous	haematophagous	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, wet hollows >> rot holes			Myotis bechsteinii, Plantae	Basilia		nana		NBNSYS0000031001	NBNSYS0000031001	R	Taxon
Bassaniodes robustus	6855	Bassaniodes robustus		Thomisidae	Araneae	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer, soil humidity >> dry	F111	calcareous grassland: Moderate	Arthropoda	Bassaniodes		robustus		NHMSYS0021453617	NHMSYS0021453617	R	Taxon
Bathynectes longipes	10913	Bathynectes longipes		Polybiidae	Decapoda	8	NR (marine)	Nationally Rare (marine species)	GB Rarity listing (1)									Bathynectes		longipes		NBNSYS0000188520	NBNSYS0000188520	R	Taxon
Bathynella natans	10057	Bathynella natans		Bathynellidae	Bathynellacea	1				saprophagous		wetland	running water					Bathynella		natans		NBNSYS0000033003	NHMSYS0001593226	R	Taxon
Bathyomphalus contortus	2423	Bathyomphalus contortus	Twisted Ramshorn	Planorbidae	Hygrophila	1				herbivore	herbivore	wetland	marshland	base status >> acid, shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2	Plantae	Bathyomphalus		contortus		NHMSYS0000343111	NHMSYS0001701927	R	Taxon
Bathyphantes approximatus	6429	Bathyphantes approximatus		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	sphagnum/moss lawn, wet/damp peat		peat bog spiders: 1	Arthropoda	Bathyphantes		approximatus		NBNSYS0000009191	NBNSYS0000009191	R	Taxon
Bathyphantes gracilis	6430	Bathyphantes gracilis		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator							Bathyphantes		gracilis		NBNSYS0000009192	NBNSYS0000009192	R	Taxon
Bathyphantes nigrinus	6431	Bathyphantes nigrinus		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter			Arthropoda, Plantae	Bathyphantes		nigrinus		NBNSYS0000009194	NBNSYS0000009194	R	Taxon
Bathyphantes parvulus	6432	Bathyphantes parvulus		Linyphiidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	base status >> acidic, habitats >> litter & ground layer, soil humidity >> variable humidity		calcareous grassland: Low	Arthropoda	Bathyphantes		parvulus		NBNSYS0000009193	NBNSYS0000009193	R	Taxon
Bathyphantes setiger	6433	Bathyphantes setiger		Linyphiidae	Araneae	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats			acid mire: B, peat bog spiders: 1	Arthropoda	Bathyphantes		setiger		NBNSYS0000009195	NHMSYS0020785948	R	Taxon
Bathysolen nubilus	2064	Bathysolen nubilus		Coreidae	Hemiptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	herbivore	open habitats	short sward & bare ground	base status >> base rich, habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: Low	Medicago lupulina	Bathysolen		nubilus		NBNSYS0000009917	NHMSYS0020308975	R	Taxon
Batia internella	5137	Batia internella	New Tawny Tubic	Oecophoridae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	base status >> base rich, habitats >> sward/field layer, soil type >> calcareous substrates			Pimpinella saxifraga	Batia		internella		NBNSYS0100001914	NBNSYS0100001914	R	Taxon
Batia lambdella	5138	Batia lambdella	Greater Tawny Tubic	Oecophoridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Ulex	Batia		lambdella		NHMSYS0000501452	NHMSYS0000501452	R	Taxon
Batia lunaris	5139	Batia lunaris	Lesser Tawny Tubic	Oecophoridae	Lepidoptera	1				herbivore	nectivore	open habitats; tree-associated	shaded woodland floor; short sward & bare ground	conifer or broadleaved >> broadleaved only, habitats >> litter & ground layer, habitats >> stones, boulders, shingle and scree, humidity >> dry			Ascomycota, Plantae	Batia		lunaris		NHMSYS0000501453	NHMSYS0000501453	R	Taxon
Batophila aerata	1120	Batophila aerata	Raspberry Flea Beetle	Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry	F001		Rosaceae	Batophila		aerata		NBNSYS0000011279	NBNSYS0000011279	R	Taxon
Batophila rubi	1121	Batophila rubi	Raspberry Flea Beetle	Chrysomelidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Rosaceae	Batophila		rubi		NBNSYS0000011280	NBNSYS0000011280	R	Taxon
Batrachedra pinicolella	3688	Batrachedra pinicolella	Pine Cosmet	Batrachedridae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only			Picea, Pinus	Batrachedra		pinicolella		NHMSYS0000501456	NHMSYS0000501456	R	Taxon
Batrachedra praeangusta	3689	Batrachedra praeangusta	Poplar Cosmet	Batrachedridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> conifer only, inflorescence >> flowers, buds & shoots			Pinus	Batrachedra		praeangusta		NHMSYS0000501457	NHMSYS0000501457	R	Taxon
Batracomorphus allionii	11960	Batracomorphus allionii		Cicadellidae	Hemiptera	1						open habitats			F003			Batracomorphus		allionii		NHMSYS0020745850	NHMSYS0020745850	R	Taxon
Batracomorphus irroratus	1841	Batracomorphus irroratus		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	short sward & bare ground	base status >> base rich, habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High	Helianthemum	Batracomorphus		irroratus		NBNSYS0100001917	NBNSYS0100001917	R	Taxon
Batrisodes adnexus	7545	Batrisodes adnexus		Staphylinidae	Coleoptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, heartrot >> decaying wood, hollow tree cavities >> ant nests	A211	IEC: 3, IEC (older version): 3	Fagales, Lasius brunneus	Batrisodes		adnexus		NBNSYS0000024131	NBNSYS0000024131	R	Taxon
Batrisodes delaporti	7546	Batrisodes delaporti		Staphylinidae	Coleoptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, heartrot >> decaying wood, hollow tree cavities >> ant nests	A211	IEC: 3, IEC (older version): 3	Fagales, Lasius brunneus	Batrisodes		delaporti		NBNSYS0000024132	NHMSYS0001717138	R	Taxon
Batrisodes venustus	7547	Batrisodes venustus		Staphylinidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	predator	predator	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, heartrot >> decaying wood, hollow tree cavities >> ant nests, woodmould >> dry wood mould	A211	IEC: 3, IEC (older version): 3	Fagales, Lasius brunneus	Batrisodes		venustus		NBNSYS0000024133	NBNSYS0000024133	R	Taxon
Beckerias pannonicus	6081	Beckerias pannonicus			Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	parasitoid	phytosaprophagous	open habitats						Beckerias		pannonicus		NBNSYS0100022890	NBNSYS0100022890	R	Taxon
Bedellia somnulentella	3690	Bedellia somnulentella	Bindweed Bent-wing	Bedelliidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Convolvulaceae	Bedellia		somnulentella		NHMSYS0000501461	NHMSYS0000501461	R	Taxon
Belida angelicae	11814	Belida angelicae		Tachinidae	Diptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)									Belida		angelicae		NBNSYS0000030169	NBNSYS0000030169	R	Taxon
Bellardia bayeri	11011	Bellardia bayeri		Calliphoridae	Diptera	1				parasitoid		open habitats						Bellardia		bayeri		NBNSYS0100001921	NBNSYS0100001921	R	Taxon
Bellardia pandia	11012	Bellardia pandia		Calliphoridae	Diptera	1				parasitoid		wetland					Lumbricidae	Bellardia		pandia		NBNSYS0100001922	NBNSYS0100001922	R	Taxon
Bellardia pubicornis	11013	Bellardia pubicornis		Calliphoridae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	parasitoid		open habitats	tall sward & scrub; upland	habitats >> soil & roots, habitats >> unknown, soil humidity >> damp	F003, F221		Lumbricidae	Bellardia		pubicornis		NBNSYS0100001923	NBNSYS0100001923	R	Taxon
Bellardia viarum	11014	Bellardia viarum		Calliphoridae	Diptera	1				parasitoid							Lumbricidae	Bellardia		viarum		NBNSYS0100001924	NBNSYS0100001924	R	Taxon
Bellardia vulgaris	11015	Bellardia vulgaris		Calliphoridae	Diptera	1				parasitoid							Lumbricidae	Bellardia		vulgaris		NBNSYS0100001925	NBNSYS0100001925	R	Taxon
Bembecia ichneumoniformis	5284	Bembecia ichneumoniformis	Six-belted Clearwing	Sesiidae	Lepidoptera	4				herbivore	nectivore	open habitats	short sward & bare ground	base status >> base rich, habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High	Lotus	Bembecia		ichneumoniformis		NBNSYS0100001926	NBNSYS0100001926	R	Taxon
Bembidion aeneum	6942	Bembidion aeneum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		Wadensee Saltmarsh fidelity index: hal-1		Bembidion		aeneum		NBNSYS0000007260	NBNSYS0000007260	R	Taxon
Bembidion articulatum	6943	Bembidion articulatum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		ERS (Coleoptera): 2		Bembidion		articulatum		NBNSYS0000007255	NBNSYS0000007255	R	Taxon
Bembidion assimile	6944	Bembidion assimile		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter				Bembidion		assimile		NBNSYS0000007247	NBNSYS0000007247	R	Taxon
Bembidion atrocaeruleum	6945	Bembidion atrocaeruleum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1		Bembidion		atrocaeruleum		NHMSYS0020919945	NHMSYS0020919945	R	Taxon
Bembidion biguttatum	6946	Bembidion biguttatum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter				Bembidion		biguttatum		NBNSYS0000007261	NBNSYS0000007261	R	Taxon
Bembidion bipunctatum	6947	Bembidion bipunctatum		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian sand	W122	ERS (Coleoptera): 2		Bembidion		bipunctatum		NBNSYS0000007215	NBNSYS0000007215	R	Taxon
Bembidion bruxellense	6948	Bembidion bruxellense		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water				Arthropoda	Bembidion		bruxellense		NBNSYS0000007229	NBNSYS0000007229	R	Taxon
Bembidion bualei	6949, 6950	Bembidion bualei		Carabidae	Coleoptera	1				predator	predator	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W122	ERS (Coleoptera): 2	Arthropoda	Bembidion		bualei		NBNSYS0000142867	NBNSYS0000142867	R	Taxon
Bembidion bualei bualei	10147	Bembidion bualei ssp. bualei		Carabidae	Coleoptera	4												Bembidion		bualei	bualei	NHMSYS0021419109	NHMSYS0021419109	R	original_taxon
Bembidion callosum	6951	Bembidion callosum		Carabidae	Coleoptera	1				predator	predator	coastal	saltmarsh	saline silt				Bembidion		callosum		NBNSYS0000007252	NBNSYS0000007252	R	Taxon
Bembidion clarkii	6952	Bembidion clarkii		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated; wetland	marshland; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, drawdown zone: mud/shallow litter, humidity >> wet, shadiness >> heavy shade	W221			Bembidion		clarkii		NHMSYS0020919947	NHMSYS0020919947	R	Taxon
Bembidion coeruleum	6953	Bembidion coeruleum		Carabidae	Coleoptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian sand				Bembidion		coeruleum		NHMSYS0021419104	NHMSYS0021419104	R	Taxon
Bembidion decorum	6954	Bembidion decorum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1		Bembidion		decorum		NBNSYS0000007230	NBNSYS0000007230	R	Taxon
Bembidion deletum	6955	Bembidion deletum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water	drawdown zone: mud/shallow litter, seepages >> shaded seepage, seepages >> woodland seepage			Arthropoda	Bembidion		deletum		NHMSYS0020919951	NHMSYS0020919951	R	Taxon
Bembidion dentellum	6956	Bembidion dentellum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		ERS (Coleoptera): 2		Bembidion		dentellum		NBNSYS0000007218	NBNSYS0000007218	R	Taxon
Bembidion doris	6957	Bembidion doris		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	tree-associated; wetland	marshland; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, drawdown zone: mud/shallow litter, humidity >> wet, shadiness >> heavy shade				Bembidion		doris		NBNSYS0000007254	NBNSYS0000007254	R	Taxon
Bembidion ephippium	6958	Bembidion ephippium		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	saltmarsh	tidal litter	M311	Wadensee Saltmarsh fidelity index: hal-1		Bembidion		ephippium		NBNSYS0000007222	NBNSYS0000007222	R	Taxon
Bembidion femoratum	6959	Bembidion femoratum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	running water			ERS (Coleoptera): 2		Bembidion		femoratum		NBNSYS0000007231	NBNSYS0000007231	R	Taxon
Bembidion fluviatile	6960	Bembidion fluviatile		Carabidae	Coleoptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian sand	W122	ERS (Coleoptera): 2		Bembidion		fluviatile		NBNSYS0000007232	NBNSYS0000007232	R	Taxon
Bembidion fumigatum	6961	Bembidion fumigatum		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		Wadensee Saltmarsh fidelity index: hal-2		Bembidion		fumigatum		NBNSYS0000007249	NBNSYS0000007249	R	Taxon
Bembidion genei	6962	Bembidion genei		Carabidae	Coleoptera	1				predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		seepage (soft rock cliff): C		Bembidion		genei		NBNSYS0000007253	NBNSYS0000007253	R	Taxon
Bembidion geniculatum	6963	Bembidion geniculatum		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1		Bembidion		geniculatum		NBNSYS0000007226	NBNSYS0000007226	R	Taxon
Bembidion gilvipes	6964	Bembidion gilvipes		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter	W221			Bembidion		gilvipes		NBNSYS0000007245	NBNSYS0000007245	R	Taxon
Bembidion guttula	6965	Bembidion guttula		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter				Bembidion		guttula		NBNSYS0000007262	NBNSYS0000007262	R	Taxon
Bembidion humerale	6966	Bembidion humerale	Thorne Pin-palp	Carabidae	Coleoptera	8	NR; Section 41 Priority Species; VU	Nationally Rare; S41. Priority Species; VU	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	predator	wetland	acid & sedge peats	wet/damp peat		acid mire: A		Bembidion		humerale		NBNSYS0000007242	NBNSYS0000007242	R	Taxon
Bembidion iricolor	6967	Bembidion iricolor		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	saltmarsh	tidal litter	M311	Wadensee Saltmarsh fidelity index: hal-1		Bembidion		iricolor		NBNSYS0000007263	NBNSYS0000007263	R	Taxon
Bembidion lampros	6968	Bembidion lampros		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer, soil humidity >> dry				Bembidion		lampros		NBNSYS0000007211	NBNSYS0000007211	R	Taxon
Bembidion lunatum	6969	Bembidion lunatum		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian sand	W122	ERS (Coleoptera): 2, Wadensee Saltmarsh fidelity index: hal-2-3		Bembidion		lunatum		NBNSYS0000007233	NBNSYS0000007233	R	Taxon
Bembidion lunulatum	6970	Bembidion lunulatum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	wetland	marshland	drawdown zone: mud/shallow litter		Wadensee Saltmarsh fidelity index: hal-2-3		Bembidion		lunulatum		NBNSYS0000007264	NBNSYS0000007264	R	Taxon
Bembidion mannerheimii	6971	Bembidion mannerheimii		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	open habitats; tree-associated; wetland	acid & sedge peats; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, drawdown zone: mud/shallow litter, humidity >> wet, shadiness >> heavy shade, wet/damp peat	F003			Bembidion		mannerheimii		NHMSYS0020919952	NHMSYS0020919952	R	Taxon
Bembidion maritimum	6972	Bembidion maritimum		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	saltmarsh	saline silt		Wadensee Saltmarsh fidelity index: hal-2	Arthropoda	Bembidion		maritimum		NBNSYS0000007234	NBNSYS0000007234	R	Taxon
Bembidion minimum	6973	Bembidion minimum		Carabidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	predator	coastal	saltmarsh	tidal litter		Wadensee Saltmarsh fidelity index: hal-2		Bembidion		minimum		NBNSYS0000007250	NBNSYS0000007250	R	Taxon
Bembidion monticola	6974	Bembidion monticola		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle	W111	ERS (Coleoptera): 1		Bembidion		monticola		NBNSYS0000007235	NBNSYS0000007235	R	Taxon
Bembidion nigricorne	6975	Bembidion nigricorne		Carabidae	Coleoptera	4	NS; NT	Nationally Scarce; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> litter & ground layer	F111			Bembidion		nigricorne		NBNSYS0000007210	NBNSYS0000007210	R	Taxon
