2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530455: rows ['598', '600']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530456: rows ['598', '601']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530457: rows ['598', '602']
2026-01-24 22:53:49,198 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530802: rows ['719', '720']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530158: rows ['332', '333']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530493: rows ['627', '628']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530496: rows ['631', '632']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688296: rows ['473', '474']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688298: rows ['596', '597']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530533: rows ['658', '659']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688300: rows ['665', '666']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688302: rows ['697', '698']
2026-01-24 22:53:49,199 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001688303: rows ['699', '700', '701']
2026-01-24 22:53:49,201 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530790: rows ['706', '707']
2026-01-24 22:53:49,202 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530628: rows ['751', '752', '753']
2026-01-24 22:53:49,202 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530671: rows ['779', '780', '781', '782', '783', '784']
2026-01-24 22:53:49,202 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530678: rows ['787', '788', '789']
2026-01-24 22:53:49,202 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021537828: rows ['535', '536']
2026-01-24 22:53:49,202 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000000004: rows ['670', '671']
2026-01-24 22:53:49,203 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000530331: rows ['480', '481']
2026-01-24 22:53:49,203 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021271561: rows ['482', '483']
2026-01-24 22:53:49,203 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021537808: rows ['548', '549']
2026-01-24 22:53:49,204 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005166: rows ['12378', '12400']
2026-01-24 22:53:49,205 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005168: rows ['12384', '12400']
2026-01-24 22:53:49,205 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000376912: rows ['12385', '12400']
2026-01-24 22:53:49,205 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000188757: rows ['12386', '12400']
2026-01-24 22:53:49,205 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005169: rows ['12387', '12400']
2026-01-24 22:53:49,205 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005167: rows ['12400', '12401']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377173: rows ['14374', '14375']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377177: rows ['14374', '14376']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080176: rows ['14374', '14377']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080177: rows ['14374', '14378']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377181: rows ['14374', '14379']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080178: rows ['14313', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021949415: rows ['14322', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000376626: rows ['14320', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000528007: rows ['14321', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020774288: rows ['14328', '14388']
