For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
flowering plant	Erica cinerea	L.		NBNSYS0000003909										RedList_ENG_post2001-NT,RedList_GB_post2001-LC															NBNSYS0000003909
flowering plant	Erica tetralix	L.		NBNSYS0000003903										RedList_ENG_post2001-NT,RedList_GB_post2001-LC															NBNSYS0000003903
flowering plant	Erica vagans	L.		NBNSYS0000003913										RedList_ENG_post2001-NT,RedList_GB_post2001-NT				NR-excludes					NI_Priority		W(NI)O-Sch8_part1				NBNSYS0000003913
flowering plant	Erigeron acris	L.		NHMSYS0021126192										RedList_ENG_post2001-LC,RedList_GB_post2001-LC									NI_Priority		W(NI)O-Sch8_part1				NHMSYS0021126192
flowering plant	Erigeron borealis	(Vierh.) Simmons		NBNSYS0000004437										RedList_GB_post2001-VU				NR-excludes	BAP-2007		Scottish_Biodiversity_List			WACA-Sch8					NBNSYS0000004437
flowering plant	Eriocaulon aquaticum	(Hill) Druce		NBNSYS0000002154										RedList_GB_post2001-LC				NR-excludes			Scottish_Biodiversity_List								NBNSYS0000002154
flowering plant	Eriophorum angustifolium	Honck.		NBNSYS0000002372										RedList_ENG_post2001-VU,RedList_GB_post2001-LC															NBNSYS0000002372
flowering plant	Eriophorum gracile	W.D.J. Koch ex Roth		NHMSYS0000458556										RedList_ENG_post2001-VU,RedList_GB_post2001-NT				NR-excludes						WACA-Sch8					NHMSYS0000458556
flowering plant	Eriophorum latifolium	Hoppe		NBNSYS0000002374										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000002374
flowering plant	Eriophorum vaginatum	L.		NBNSYS0000002375										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000002375
flowering plant	Erodium cicutarium	(L.) L'Hér.		NHMSYS0000458563										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458563
flowering plant	Erodium lebelii	Jord.		NHMSYS0000458571										RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NS-excludes			Scottish_Biodiversity_List								NHMSYS0000458571
flowering plant	Erodium maritimum	(L.) L'Hér.		NHMSYS0000458573										RedList_ENG_post2001-LC,RedList_GB_post2001-LC							Scottish_Biodiversity_List								NHMSYS0000458573
flowering plant	Erodium moschatum	(L.) L'Hér.		NHMSYS0000458574										RedList_ENG_post2001-LC,RedList_GB_post2001-LC							Scottish_Biodiversity_List								NHMSYS0000458574
flowering plant	Erophila glabrescens	Jord.		NHMSYS0000458579										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458579
flowering plant	Erophila majuscula	Jord.		NHMSYS0000458580										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458580
flowering plant	Erophila verna		sens.lat.	NBNSYS0000042604										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000042604
flowering plant	Erophila verna		sensu Filfilan & Elkington (Linnaeus) DC.	NBNSYS0000002867										RedList_GB_post2001-LC															NBNSYS0000002867;NHMSYS0000458582
flowering plant	Erophila verna	(L.) DC.		NHMSYS0000458582										RedList_ENG_post2001-LC															NHMSYS0000458582
flowering plant	Eryngium campestre	L.		NBNSYS0000003637										RedList_ENG_post2001-NT,RedList_GB_post2001-NT				NR-excludes	BAP-2007	England_NERC_S.41				WACA-Sch8					NBNSYS0000003637
flowering plant	Eryngium maritimum	L.		NBNSYS0000003636										RedList_ENG_post2001-NT,RedList_GB_post2001-LC							Scottish_Biodiversity_List								NBNSYS0000003636
flowering plant	Erysimum cheiranthoides	L.		NBNSYS0000002903										RedList_ENG_post2001-NT,RedList_GB_post2001-LC															NBNSYS0000002903
flowering plant	Erysimum cheiri	(L.) Crantz		NBNSYS0000002904										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000002904
flowering plant	Euonymus europaeus	L.		NBNSYS0000003195										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003195
