row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
112	Acleris schalleriana	Acleris schalleriana (Linnaeus, 1761)	1740155	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris schalleriana	allied_species	
113	Acleris semipurpurana	Acleris semipurpurana (Kearfott, 1905)	1739867	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris semipurpurana	species	
114	Acleris senescens	Acleris senescens (Zeller, 1874)	1739815	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris senescens	species	
115	Acleris shepherdana	Acleris shepherdana (Stephens, 1852)	1739775	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris shepherdana	allied_species	
116	Acleris sparsana	Acleris sparsana (Denis & SchiffermÃ¼ller) , 1775	1740174	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris sparsana	allied_species	
117	Acleris stettinensis	Acleris stettinensis Leraut, 2003	4530509	EXACT	98	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris obtusana	allied_species	
118	Acleris umbrana	Acleris umbrana (HÃ¼bner, 1796-1799)	1739919	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris umbrana	allied_species	
119	Acleris variana	Acleris variana (Fernald, 1886)	1739767	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris variana	species	
120	Acleris variegana	Acleris variegana (Denis & SchiffermÃ¼ller) , 1775	1739833	EXACT	97	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Acleris	Acleris variegana	allied_species	
121	Acrobasis advenella	Acrobasis advenella (Zincken, 1818)	4531147	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis advenella	allied_species	
122	Acrobasis consociella	Acrobasis consociella HÃ¼bner, 1813	1874204	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis consociella	allied_species	
123	Acrobasis fallouella	Acrobasis fallouella Ragonot, 1871	1874281	EXACT	98	SYNONYM	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis glaucella	allied_species	
124	Acrobasis marmorea	Acrobasis marmorea (Haworth, 1811)	4531158	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis marmorea	allied_species	
125	Acrobasis pirivorella	Acrobasis pirivorella Matsumura, 1900	1874191	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis pirivorella	species	
126	Acrobasis repandana	Acrobasis repandana Fabricius, 1798	1874192	EXACT	98	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis repandana	allied_species	
127	Acrobasis sodalella	Acrobasis sodalella Zeller, 1848	1874295	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis sodalella	allied_species	
128	Acrobasis suavella	Acrobasis suavella (Zincken, 1818)	4531145	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis suavella	allied_species	
129	Acrobasis tumidana	Acrobasis tumidana (Denis & SchiffermÃ¼ller) , 1775	1874211	EXACT	97	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Lepidoptera	Pyralidae	Acrobasis	Acrobasis tumidana	allied_species	
130	Acroceratitis berviscapa	Acroceratitis breviscapa David, Ramani & Hancock	8696614	FUZZY	95	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis breviscapa	genus	
131	Acroceratitis bilineata	Acroceratitis bilineata (Meijere, 1914)	1624504	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis bilineata	genus	
132	Acroceratitis bimacula	Acroceratitis bimacula Hardy, 1973	1624506	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis bimacula	genus	
133	Acroceratitis biseta	Acroceratitis biseta Wang, 1996	1624524	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis biseta	genus	
134	Acroceratitis ceratitina	Acroceratitis ceratitina (Bezzi, 1913)	1624525	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis ceratitina	genus	
135	Acroceratitis clavifera	Acroceratitis clavifera (Hering, 1938)	1624508	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis clavifera	genus	
136	Acroceratitis cognata	Acroceratitis cognata Hardy, 1973	1624529	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis cognata	genus	
137	Acroceratitis distincta	Acroceratitis Hendel, 1913	1624496	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis		species	
138	Acroceratitis flava	Acroceratitis flava Premlata & Singh, 1988	1624523	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis flava	genus	
139	Acroceratitis gladiella	Acroceratitis gladiella (Munro, 1938)	1624512	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis gladiella	genus	
140	Acroceratitis hardyi	Acroceratitis hardyi Hancock & Drew, 1999	1624527	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis hardyi	genus	
141	Acroceratitis histrionica	Acroceratitis histrionica (Meijere, 1914)	1624497	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis histrionica	genus	
