organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000125441	NHMSYS0000363400	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmelia	Parmelia saxatilis s. str.			(L.) Ach.		Y		
NBNORG0000091497	NHMSYS0020102992	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Pseudevernia	Pseudevernia furfuracea s. str.	Pseudevernia furfuracea var. ceratea;Pseudevernia furfuracea var. furfuracea	NHMSYS0001495159;NHMSYS0001495160	(L.) Zopf		Y		
NBNORG0000125447	NHMSYS0000364730	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Punctelia	Punctelia subrudecta s. str.			(Nyl.) Krog		Y		
NBNORG0000085207	NHMSYS0021646105	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea cornuta s. lat.	Usnea ceratina f. inflata;Usnea ceratina var. incurvescens;Usnea constrictula;Usnea cornuta;Usnea dasaea;Usnea inflata;Usnea intexta;Usnea intexta var. constrictula;Usnea subcornuta	NHMSYS0001501153;NHMSYS0001443345;BMSSYS0000019412;NHMSYS0001501160;BMSSYS0000019413;NBNSYS0000158874;BMSSYS0000019429;BMSSYS0000290055;BMSSYS0000019445			Y		
NBNORG0000134537	NHMSYS0021646065	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea cornuta s. str.			Körb.		Y		
NBNORG0000108575	NHMSYS0020987696	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Lecania	Lecania erysibe s. str.	Lecania erysibe f. sorediata;Lecaniella erysibe	NHMSYS0001486276;BMSSYS0000731172	(Ach.) Mudd		Y		
NBNORG0000125445	NHMSYS0000364677	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria incana s. str.	Crocynia tephra	BMSSYS0000005306	(L.) Ach.		Y		
NBNORG0000108586	NHMSYS0020987752	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	Lecidea fuscoatra s. str.	Durella fuscoatra;Durella fuscoatrum;Lecidea fuscoatra f. mosigii;Lichen fusco-ater	BMSSYS0000045125;NHMSYS0001481196;BMSSYS0000009827;BMSSYS0000533935	(L.) Ach.		Y		
NBNORG0000125444	NHMSYS0000364668	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	Lecidea lactea s. str.	Lecidea lapicida var. pantherina;Lecidea pantherina	NHMSYS0020990404;BMSSYS0000009950	Flörke ex Schaer.		Y		
NBNORG0000077706	BMSSYS0000046963	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Collemataceae	Lathagrium	Lathagrium undulatum var. undulatum	Collema laureri;Collema undulatum;Collema undulatum var. undulatum;Synechoblastus complicatus;Synechoblastus laureri	NHMSYS0001478274;NBNSYS0000018457;NHMSYS0001478326;NHMSYS0001499325;BMSSYS0000018224	(Laurer ex Flot.) Otálora, P.M. Jørg. & Wedin		Y		
NBNORG0000125442	NHMSYS0000364214	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Sticta	Sticta fuliginosa s. str.			(Hoffm.) Ach.		Y		
NBNORG0000125404	BMSSYS0000534061	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	Pectenia plumbea s. str.	Degelia plumbea s. str.;Pannaria plumbea s. str.;Parmeliella plumbea s. str.	NBNSYS0000018912;NHMSYS0020987920;NHMSYS0020987946	(Lightf.) L. Lindblom, Wedin & S. Ekman		Y		
