Lithobius (Lithobius) melanops;? Lithobius borealis;Lithobius glabratus;Lithobius melanops
Allopauropus (Decapauropus) gracilis;?Allopauropus minutus;Allopauropus (Decapauropus) Amaudruti;Allopauropus Amaudruti var. Cordieri;Allopauropus Cordieri;Allopauropus gracilis;Allopauropus gracilis var. Amaudruti;Allopauropus gracilis var. sabaudianus;Allopauropus gracilis var. sequanus;Allopauropus sequanus;Allopauropus sequanus var. sinuatus;Allopauropus tenuis form sequanus;Decapauropus amaudruti;Decapauropus gracilis;Decapauropus sabaudianus;Pauropus gracilis;Remypus sequanus
Phyllodoce longipes;Aanaitides jeffresyii;Anaitides longipes
Abarenicola claparedi;Abarenicola claparedei
Aceria nervisequa;Aceria fagineus;Aceria nervisequus;Eriophyes nervisequus
Aceria fraxinicola;Aceria fraxini;Vasates fraxini
Aceria fraxinivora;Aceria fraxinivorus;Eriophyes fraxinivorus
Aceria hippophaena;Aceria hippophaenus;Aceria hippophanea
Aceria iteina;Aceria iteinus
Eriophyes lateannulatus;Aceria lateannulatus
Aceria laticincta;Aceria laticinctus
Aceria linosyrina;Aceria linosyrinus
Eriophyes lissonotus;Aceria lissonata
Aceria longiseta;Aceria longisetus
Aceria macrochela;Aceria macrochelus;Eriophyes macrochelus
Aceria macrorhyncha;Aceria macrorhynchus;Eriophyes macrorhynchus
Aceria macrotuberculata;Aceria macrotuberculatus
Aceria megacera;Aceria megacerus
Aceria mentharia;Aceria mentharius
Aceria maculifer;Aceria nervisequus subsp. maculifer
Aceria puculosa;Aceria puculosus
Aceria solida;Aceria solidus
Aceria squalida;Aceria squalidus;Eriophyes squalidus
Aceria tenella;Aceria tenellus
Aceria tristriata;Aceria tristriatus;Eriophyes tristriatus
Aceria unguiculata;Aceria unguicolatus
Acericerus ribauti;Acericerus (Idiocerus) ribauti;Idiocerus ribauti
Chalinula limbata;Acervochalina limbata;Haliclona limbata
Chalinula loosanoffi;Acervochalina loosanoffi
Acetropis (Acetropis) gimmerthalii;Acetropis gimmerthali;Acetropis gimmerthalii;Acetropis seticulosa
Parasteatoda simulans;Achaearanea formosum subsp. simulans;Achaearanea simulans;Achaearanea tepidariorum subsp. simulans;Achaearanea tepidariorum var. simulans;Theridion tepidariorum subsp. simulans;Theridion tepidariorum var. simulans
Parasteatoda lunata;Achaearanea formosus;Achaearanea lunata;Achaearanea lunatum;Achaearanea lunatus;Achaearanea sisyphia;Achaearanea sisyphium;Theridion lunatum
Cryptachaea riparia;Achaearanea riparia;Theridion saxatile
Parasteatoda tepidariorum;Achaearanea tepidariorum;Theridion tepidariorum
Cryptachaea veruculata;Achaearanea veruculata;Achaearanea veruculatum;Theridion veruculata
Dolerus ferrugatus;Achaetoprion ferrugatus;Dolerus (Achaetoprion) ferrugatus
Dolerus madidus;Achaetoprion madidus;Dolerus (Achaetoprion) madidus;Dolerus chappelli;Dolerus schulthessi;Tenthredo lateritia;Tenthredo madida
Dolerus pachycerus;Achaetoprion pachycerus;Dolerus (Achaetoprion) pachycerus;Dolerus taeniatus;Dolerus tinctipennis
Dolerus triplicatus;Achaetoprion triplicatus;Dolerus (Achaetoprion) triplicatus;Dolerus steini;Tenthredo triplicata
Achaius oratorius;Achaius cingulipes;Amblyteles oratorius;Ichneumon cingulatorius
Australachalcus melanotrichus;Achalcus melanotrichus
Achanthiptera rohrelliformis;Achanthiptera inanis;Musca inanis;Phyllis rohrelliformis
Ammothella longipes;Achelia longipes
Nemobius sylvestris;Acheta sylvestris
Acholoe squamosa;Acholoe astericola
Acicula fusca;Acicula inchoata;Acicula lineata
Acidostoma laticornis;Acidostoma laticorne
Acidostoma obesum;Acidostoma nodiferum;Acidostoma sarsi
Friedlanderia cicatricella;Acigona cicatricella;Haimbachia cicatricella
Acilius canaliculatus;Acilius fasciatus
Acilius sulcatus;Acilius scoticus
Chaetorellia jaceae;Acinia jaceae
Alvania cimicoides;Acinulus cimicoides
Acipenser gueldenstaedtii;Acipenser güldenstõdti
Gregorioiscala sarsi;Acirsa sarsii;Gregorioscala sarsi
Acleris hastiana;Acleris autumnana;Acleris maccana
Acleris kochiella;Acleris boscana;Acleris scabrana;Acleris ternatella
Acleris caledoniana;Acleris calidoniana
Acleris emargana;Acleris caudana
Acleris laterana;Acleris comariana;Acleris comparana;Acleris latifasciana;Acleris perplexana;Acleris schalleriana
Acleris comariana;Acleris comparana
Acleris rhombana;Acleris contaminana;Acleris reticulata
Acleris sparsana;Acleris favillaceana;Acleris sponsana
Acleris notana;Acleris ferrugana;Acleris tripunctana
Acleris ferrugana;Acleris fissurana
Acleris forsskaleana;Acleris forskaleana;Croesia forsskaleana
Acleris umbrana;Acleris hastiana
Acleris schalleriana;Acleris hastiana;Acleris lipsiana;Acleris logiana;Acleris tristana
Acleris hyemana;Acleris mixtana
Acleris logiana;Acleris niveana;Acleris scotana
Acleris lorquiniana;Acleris uliginosana
Acletoxenus formosus;Acletoxenus ornatus;Acletoxenus syrphoides;Agromyza ornatus;Gitona formosus
Aclista rufopetiolata;Aclista castaneiventris;Aclista pleuralis;Aclista versicolor
Aclista alticollis;Aclista cilipes;Aclista fallax;Aclista nigra
Aclista elevata;Aclista elevatas
Zygota microtoma;Aclista evadne;Aclista microtoma;Zygota microstoma
Aclista striolata;Aclista hamifera
Aclista cantiana;Aclista nigrescens
Aclista filicornis;Aclista similis
Aclypea undata;Aclypea reticulata;Silpha reticulata
Testudinalia testudinalis;Acmaea tessulata;Acmaea testudinalis;Collisella tessulata;Collisella testudinalis;Tectura testudinalis;Testudinalia tessulata
Tectura virginea;Acmaea virginea
Dinoptera collaris;Acmaeops collaris;Pachyta collaris
Aricidea (Acmira) catherinae;Acmira catherinae;Aricidea catherinae
Aricidea (Acmira) cerrutii;Acmira cerrutii;Aricidea cerrutii
Aricidea (Acmira) laubieri;Acmira laubieri;Aricidea laubieri
Aricidea (Acmira) lopezi;Acmira lopezi;Aricidea lopezi
Aricidea (Acmira) philbinae;Acmira philbinae;Aricidea philbinae
Aricidea (Acmira) simonae;Acmira simonae;Aricidea simonae
Acnemia nitidicollis;Acnemia defecta;Leia defecta;Leia nitidicollis
Acolobus albimanus;Acobolus albimanus
Acolobus sericeus;Acobolus sericeus
Acompocoris pygmaeus;Acompocoris lucorum
Acompsia schmidtiellus;Acompsia durdhamellus;Telephila schmidtiellus
Aconias tarsatus;Aconias lateannulatus;Aconias nigrofemoratus;Aconias pectoralis
Acontia aprica;Acontia alboater
Acontia nitidula;Acontia cataena
Pteleobius vittatus;Acrantus vittatus;Hylesinus vittatus
Acricotopus lucens;Acricotopus coaequatus;Acricotopus lucidus;Acricotopus moturus;Acricotopus nitidicollis;Acricotopus obsepiens;Acricotopus patibilis;Acricotopus pervulsus;Chironomus coaequatus;Chironomus lucens;Chironomus lucidus;Chironomus moturus;Chironomus nitidicollis;Chironomus obsepiens;Chironomus patibilis;Chironomus pervulsus
Aeletes atomarius;Acritus atomarius
Acritus nigricornis;Acritus minutus
Halacritus punctum;Acritus punctum
Acritus homoeopathicus;Acritus rhenanus
Acrobasis tumidana;Acrobasis rubritibiella;Acrobasis verrucella;Conobathra tumidana
Acrobasis repandana;Acrobasis tumidella;Acrobasis zelleri;Conobathra repandana
Arundinax aedon;Acrocephalus aedon;Iduna aedon
Acrocephalus arundinaceus;Acrocephalus arundinacea;Acrocephalus turdoides
Acrocephalus schoenobaenus;Acrocephalus scheonobaenus;Salicaria phragmites
Acrocera orbiculus;Acrocera albipes;Acrocera globulus;Acrocera orbicula;Paracrocera albipes;Paracrocera globulus;Paracrocera orbiculus;Syrphus globulus;Syrphus orbiculus
Dialectica imperialella;Acrocercops imperialella;Dialectica hofmanniella;Sauterina hofmaniella;Sauterina hofmanniella
Acroclita subsequana;Acroclita consequana;Acroclita littorana
Megaetaira madida;Acrodactyla madida
Manda mandibularis;Acrognathus mandibularis;Anthophagus mandibularis
Acrolepia autumnitella;Acrolepia pygmaeana;Acrolepia pygmeana
Acrolocha minuta;Acrolocha striata
Acrolocha sulcula;Acrolocha striata;Acrolocha striatum;Acrolocha sulculus;Homalium striatum
Acrolyta rufocincta;Acrolyta capreolus;Acrolyta distincta;Eudelus capreolus;Hemiteles rufocinctus
Acrolyta nens;Acrolyta submarginata
Clypeoteles distans;Acrolyta xylonomoides
Acronicta cinerea;Acronicta euphorbiae;Acronicta euphorbiae subsp. euphorbiae;Acronicta euphorbiae subsp. myricae;Acronicta myricae
Subacronicta megacephala;Acronicta megacephala
Alonopsis elongata;Acroperus elongatus;Alona elongatus;Alonopsis elegans
Alonella nana;Acroperus nana
Calliphora stelviana;Acrophaga stelviana;Calliphora alpina
Acropiesta flaviventris;Acropiesta gracilicornis
Acropiesta pseudosciarivora;Acropiesta sciarivora;Acropiesta sciavora
Zaphne nuda;Acroptena nuda;Hydrophoria nuda
Zaphne inuncta;Acroptena villosa;Anthomyza inuncta;Aricia hyalipennis;Hydrophoria hyalipennis;Zaphne hyalipennis;Zaphne villosa
Acroricnus stylator;Acroricnus macrobatus
Prosopantrum flavifrons;Acrostichalia flavifrons
Lasiomma latipenne;Acrostilpna latipennis;Anthomyza latipennis;Chirosia latipennis
Chirosia similata;Acrostilpna similata
Acrotona troglodytes;Acrotona consanguinea;Atheta consanguinea;Homalota consanguinea;Metaxya consanguinea
Atheta fimorum;Acrotona fimorum;Homalota fuscipes;Mycetota fimorum
Atheta fungi;Acrotona fungi;Homalota fungi;Mocyta fungi
Atheta laticollis;Acrotona laticollis;Homalota laticollis;Mycetota laticollis
Acrotona convergens;Acrotona obfuscata
Atheta orbata;Acrotona orbata;Atheta fungi var. orbata;Homalota orbata;Mocyta orbata
Atheta orphana;Acrotona orphana;Homalota orphana;Mocyta orphana
Pycnota paradoxa;Acrotona paradoxa;Atheta nidorum;Homalota paradoxa;Pycnota nidorum
Acrotona parvula;Acrotona parva;Atheta parva;Atheta parvula
Acrotona sylvicola;Acrotona planipennis;Atheta sylvicola;Oxypoda planipennis
Acrotona benicki;Acrotona pusilla;Atheta benicki;Atheta pusilla
Atheta subsinuata;Acrotona subsinuata;Homalota subsinuata;Rhagocneme subsinuata
Acrotrichis sericans;Acrotrichis ambigua;Acrotrichis ambiguu;Acrotrichis bovina;Acrotrichis brevis;Acrotrichis chevrierii;Acrotrichis chevrolatii;Acrotrichis depressa;Acrotrichis edithia;Acrotrichis guerini;Acrotrichis longula;Acrotrichis obscaena;Acrotrichis obscoena;Acrotrichis picicornis;Acrotrichis poweri;Acrotrichis waterhousii;Trichopteryx poweri
Acrotrichis montandonii;Acrotrichis angusta;Acrotrichis jansoni;Acrotrichis longicornis;Acrotrichis montandoni;Acrotrichis picicornis;Acrotrichis rivularis;Acrotrichis similis;Trichopteryx montandoni;Trichopteryx montandonii;Trichopteryx picicornis;Trichopteryx rivularis
Acrotrichis thoracica;Acrotrichis anthracina;Acrotrichis attenuata;Acrotrichis brevicornis;Trichopteryx anthracina;Trichopteryx brevicornis;Trichopteryx thoracica
Acrotrichis danica;Acrotrichis atomaria
Acrotrichis dispar;Acrotrichis bovina;Acrotrichis sericans var. bovina;Trichopteryx bovina;Trichopteryx dispar;Trichopteryx sericans var. bovina
Acrotrichis atomaria;Acrotrichis brevicornis;Acrotrichis convexa;Acrotrichis convexiuscula;Acrotrichis minima;Acrotrichis minuta;Acrotrichis minutissima;Acrotrichis seminitens;Acrotrichis thoracica
Acrotrichis pumila;Acrotrichis brevipennis;Acrotrichis fuscula;Acrotrichis kirbii;Acrotrichis longicornis;Trichopteryx longicornis
Acrotrichis fascicularis;Acrotrichis cantiana;Acrotrichis laetitia;Acrotrichis laetitiae;Trichopteryx fascicularis
Acrotrichis brevipennis;Acrotrichis carbonaria;Acrotrichis clavipes;Acrotrichis kirbii
Acrotrichis cephalotes;Acrotrichis chevrolati;Acrotrichis chevrolatii;Acrotrichis parallelogramma;Acrotrichis pygmaea;Trichopteryx chevrolati;Trichopteryx chevrolatii
Acrotrichis sitkaensis;Acrotrichis fratercula
Acrotrichis henrici;Acrotrichis fratercula;Trichopteryx fratercula;Trichopteryx henrici
Acrotrichis rosskotheni;Acrotrichis fraterna
Acrotrichis strandi;Acrotrichis laetitia;Acrotrichis laetitiae
Acrotrichis intermedia;Acrotrichis lata;Acrotrichis suffocata;Trichopteryx intermedia;Trichopteryx lata
Acrotrichis cognata;Acrotrichis platonoffi;Trichopteryx cognata
Acrotrichis parva;Acrotrichis silvatica
Acrotrichis rugulosa;Acrotrichis sjobergi;Acrotrichis sjoebergi;Acrotrichis volans;Trichopteryx suffocata var. volans;Trichopteryx volans
Acrotrichis josephi;Acrotrichis subcognata
Chorthippus albomarginatus;Acrydium albomarginatus;Chorthippus elegans
Tetrix undulata;Acrydium undulata;Tetrix austriaca;Tetrix bipunctata;Tetrix kiefferi;Tetrix vittata
Actenicerus sjaelandicus;Actenicerus tessellatus;Corymbites siaelandicus;Corymbites sjaelandicus;Corymbites tessellatus
Rhadinopsylla (Actenophthalmus) integella;Actenophthalmus integella;Rhadinopsylla integella
Rhadinopsylla (Actenophthalmus) isacantha;Actenophthalmus isacantha;Rhadinopsylla isacantha;Rhadinopsylla isacantha subsp. continentalis
Rhadinopsylla (Actenophthalmus) pentacantha;Actenophthalmus pentacantha;Rhadinopsylla pentacantha
Achtheres percarum;Actheres percarum
Actia infantula;Actia antennalis;Tachina infantula;Thryptocera antennalis
Actia pilipennis;Actia broteas;Actia excensa;Tachina broteas;Tachina excensa;Tachina pilipennis
Phytomyptera cingulata;Actia cingulata;Phytomyptera minutissima;Phytomyptera perpingens;Phytomyptera vivipara;Phytomyptera zonella;Tachina perpingens
Entomophaga exoleta;Actia exoleta;Tachina exoleta
Ceromya flaviseta;Actia flaviseta
Actia lamia;Actia frontalis;Roeselia lamia;Thryptocera frontalis
Siphona lichtwardtiana;Actia lichtwardtiana;Ceranthia lichtwardtiana
Entomophaga nigrohalterata;Actia nigrohalterata;Ceromya nigrohalterata
Actia resinellae;Actia nudibasis;Musca resinellae
Entomophaga sufferta;Actia sufferta
Actidium aterrimum;Actidium concolor
Paractinolaimus macrolaimus;Actinolaimus macrolaimus
Actinopteryx fucicola;Actinopteryx mollis
Chloantha hyperici;Actinotia hyperici
Actitis macularius;Actitis macularia
Erichsonius cinerascens;Actobius cinerascens
Neobisnius procerulus;Actobius procerulus
Neobisnius prolixus;Actobius prolixus
Erichsonius signaticornis;Actobius signaticornis
Neobisnius villosulus;Actobius villosulus
Erichsonius ytenensis;Actobius ytenensis
Actocharis readingii;Actocharis marina;Actocharis readingi
Helcomyza ustulata;Actora aestuum;Helcomyza aestuum
Phytosus balticus;Actosus balticus
Phytosus nigriventris;Actosus nigriventris
Aculepeira ceropegia;Aculepeira ceropegius;Araneus ceropegius
Eriophyes leionotus;Aculus leionotus;Eriophyes leionota;Eriophyes lionotus
Acupalpus brunnipes;Acupalpus brunneipes
Anthracus consputus;Acupalpus consputus
Acupalpus parvulus;Acupalpus derelictus;Acupalpus dorsalis
Acupalpus dubius;Acupalpus exiguus var. luridus;Acupalpus luridus;Acupalpus luteatus
Acupalpus flavicollis;Acupalpus luridus
Acylophorus glaberrimus;Acylophorus glabricollis;Habrocerus glabricollis
Arctoconopa melampodia;Acyphona melampodia;Arctoconopa unicolor;Ilisia unicolor
Hoplolabis vicina;Acyphona vicina;Erioptera vicina
Acyrthosiphon (Acyrthosiphon) auctum;Acyrthosiphon auctum
Acyrthosiphon (Acyrthosiphon) auriculae;Acyrthosiphon auriculae
Acyrthosiphon (Acyrthosiphon) boreale;Acyrthosiphon boreale
Acyrthosiphon (Acyrthosiphon) caraganae;Acyrthosiphon caraganae
Acyrthosiphon (Acyrthosiphon) cyparissiae;Acyrthosiphon cyparissiae
Acyrthosiphon (Acyrthosiphon) lactucae;Acyrthosiphon lactucae
Acyrthosiphon (Acyrthosiphon) loti;Acyrthosiphon loti
Acyrthosiphon (Acyrthosiphon) malvae;Acyrthosiphon malvae
Acyrthosiphon (Acyrthosiphon) pisum;Acyrthosiphon pisum
Acyrthosiphon (Acyrthosiphon) primulae;Acyrthosiphon primulae;Microlophium primulae
Adalia decempunctata;Adalia 10-punctata;Adalia biabilis;Adalia bothnica;Adalia conglomerata;Coccinella 10-punctata;Coccinella biabilis;Coccinella decempunctata;Coccinella variabilis
Adalia bipunctata;Adalia 2-punctata;Coccinella bipunctata
Aphidecta obliterata;Adalia obliterata;Aphideita obliterata
Damaeus (Adamaeus) onustus;Adamaeus onustus;Damaeus onustus
Adamsia palliata;Adamsia carciniopados;Adamsia maculata
Adarrus multinotatus;Adarrus (Adarrus) multinotatus
Errastunus ocellaris;Adarrus ocellaris
Addisonia excentrica;Addisonia lateralis
Cauchas fibulella;Adela fibulella
Adela reaumurella;Adela reamurella;Adela viridella
Cauchas rufimitrella;Adela rufimitrella
Adela croesella;Adela sulzella
Sacchiphantes abietis;Adelges abietis
Gilletteella cooleyi;Adelges cooleyi
Dreyfusia nordmannianae;Adelges nordmannianae
Dreyfusia piceae;Adelges piceae
Adelges (Cholodkovskaya) viridanas;Adelges viridanas;Cholodkovskaya viridanas
Sacchiphantes viridis;Adelges viridis
Agrypnus murinus;Adelocera murina;Brachylacon murinus;Lacon murinus
Adelognathus punctulatus;Adelognathus chrysopygus;Adelognathus dimidiatus;Adelognathus pallidipes;Adelognathus pallipes
Adelognathus dorsalis;Adelognathus dryadum;Epitropus insolitus
Adelognathus tetratinctorius;Adelognathus fasciatus;Adelognathus scabriculus
Adelognathus chrysopygus;Adelognathus granulatus
Adelognathus brevicornis;Adelognathus limbatus;Adelognathus montivagator
Adelognathus tenthredinarum;Adelognathus nigricornis
Adelognathus pallipes;Adelognathus pallidipes;Adelognathus ruthei
Adelognathus thomsoni;Adelognathus thuringiacus
Adelphocoris lineolatus;Adelphocoris chenopodii
Aderus populneus;Aderus boleti;Aderus populnea;Hylophilus populneus;Xylophila populnea;Xylophilia populnea;Xylophilus populneus
Vanonus brevicornis;Aderus brevicornis;Hylophilus brevicornis;Vanonus neglectus;Xylophila brevicornis;Xylophilus brevicornis
Euglenes oculatus;Aderus oculatus;Aderus pygmaea;Euglenes pygmaeus;Hylophilus pygmaeus;Xylophila pygmaea;Xylophilus oculatus;Xylophilus pygmaeus
Galeruca laticollis;Adimonia oelandica;Galeruca circumdata;Galeruca interrupta
Galeruca tanaceti;Adimonia tanaceti
Idas simpsoni;Adipicola simpsoni
Brocchinia nodosa;Admete nodosa
Admontia grandicornis;Admontia amica;Admontia nigricans;Admontia podomyia;Frontina nigricans;Tachina grandicornis
Admontia seria;Admontia decorata;Tachina decorata;Tachina seria;Trichopareia seria
Admontia maculisquama;Admontia seria;Tachina maculisquama
Haliclona (Reniera) cinerea;Adocia cinerea;Adocia peachii;Adocia permollis;Haliclona cinerea;Reniera cinerea
Haliclona (Haliclona) simulans;Adocia condensa;Adocia simulans;Haliclona simulans
Hippodamia variegata;Adonia variegata
Adota maritima;Adota immigrans;Atheta immigrans
Platynota rostrana;Adoxophyes rostrana
Bromius obscurus;Adoxus obscurus
Adoxophyes orana;Adoxyphyes orana
Adoxophyes privatana;Adoxyphyes privatana
Adrastus pallens;Adrastus limbatus;Adrastus nitidulus
Adrastus rachifer;Adrastus minutus;Adrastus pusillus
Diphascon (Adropion) scoticus;Adropion scoticus;Diphascon scoticus;Hypsibius scoticus
Jordanita globulariae;Adscita globulariae
Kabatazus paradoxus;Advena paradoxa
Adyte hyalina;Adyte assimilis
Subadyte pellucida;Adyte pellucida
Ochlerotatus nigrinus;Aedes (Ochlerotatus) nigrinus;Aedes nigrinus
Ochlerotatus annulipes;Aedes annulipes;Culex annulipes
Ochlerotatus cantans;Aedes cantans;Aedes maculatus;Aedes waterhousei;Culex cantans;Culex waterhousei
Ochlerotatus caspius;Aedes caspius;Aedes punctatus;Culex caspius
Ochlerotatus communis;Aedes communis;Aedes nemorosus;Aedes sylvaticus;Culex communis;Culex nemorosus
Ochlerotatus sticticus;Aedes concinnus;Aedes sticticus;Aedes sylvae;Culex concinnus;Culex sticticus;Culex sylvae
Ochlerotatus detritus;Aedes detritus;Aedes salinus;Aedes terriei;Culex detritus;Culex salinus;Culex terriei
Ochlerotatus rusticus;Aedes diversus;Aedes rusticus;Culex diversus;Culex rusticus
Ochlerotatus dorsalis;Aedes dorsalis;Culex dorsalis
