Organism,Common Name,Common Name Source,Current Status,INSDC ID,ToL ID
Geranium rotundifolium,Not specified,NCBI_taxon,Annotation Complete,PRJEB69503,drGerRotu1
Caradrina clavipalpis,Not specified,NCBI_taxon,Annotation Complete,PRJEB50780,ilCarClav1
Muntiacus reevesi,Reeves' muntjac,NCBI_taxon,Annotation Complete,PRJEB71429,"mMunRee1, mMunRee2"
Aricia artaxerxes,northern brown argus,NCBI_taxon,Annotation Complete,PRJEB42083,"ilAriArta2, ilAriArta3"
Toxonevra muliebris,Not specified,NCBI_taxon,Annotation Complete,PRJEB68021,"idToxMuli2, idToxMuli1"
Drepanosiphum platanoidis,Not specified,NCBI_taxon,Annotation Complete,PRJEB58086,"ihDrePlat3, ihDrePlat2, ihDrePlat1"
Nebria brevicollis,Not specified,NCBI_taxon,Annotation Complete,PRJEB49038,"icNebBrev3, icNebBrev4, icNebBrev2, icNebBrev1"
Armoracia rusticana,horseradish,NCBI_taxon,Annotation Complete,PRJEB80111,ddArmRust1
Yponomeuta plumbellus,Not specified,NCBI_taxon,Annotation Complete,PRJEB55977,"ilYpoPlub1, ilYpoPlub3, ilYpoPlub2, ilYpoPlub5, ilYpoPlub4"
Salmo trutta,river trout,NCBI_taxon,Annotation Complete,PRJEB22206,fSalTru1
Lactarius evosmus,Not specified,NCBI_taxon,Annotation Complete,PRJEB58660,"gfLacEvos1, gfLacEvos3, gfLacEvos5, gfLacEvos6, gfLacEvos2, gfLacEvos4"
Rhamphomyia laevipes,Not specified,NCBI_taxon,Annotation Complete,PRJEB62057,"idRhaLaev1, idRhaLaev2"
Lordithon lunulatus,Not specified,NCBI_taxon,Annotation Complete,PRJEB61500,"icLorLunu2, icLorLunu1"
Polydrusus pterygomalis,Not specified,NCBI_taxon,Annotation Complete,PRJEB70846,"icPolPter1, icPolPter2"
Dasysyrphus tricinctus,Not specified,NCBI_taxon,Annotation Complete,PRJEB64113,idDasTrii1
Xanthia icteritia,Not specified,NCBI_taxon,Annotation Complete,PRJEB58662,"ilXanIcte1, ilXanIcte3, ilXanIcte2"
Cheilosia soror,Not specified,NCBI_taxon,Annotation Complete,PRJEB55941,"idCheSoro1, idCheSoro2, idCheSoro4, idCheSoro3"
Halyzia sedecimguttata,orange ladybird,NCBI_taxon,Annotation Complete,PRJEB51266,"icHalSede3, icHalSede1, icHalSede2"
Macrophya alboannulata,Not specified,NCBI_taxon,Annotation Complete,PRJEB59941,iyMacAlbo1
Cryptus armator,Not specified,NCBI_taxon,Annotation Complete,PRJEB62888,iyCryArma1
Hypena proboscidalis,Not specified,NCBI_taxon,Annotation Complete,PRJEB42095,"ilHypProb2, ilHypProb1"
Mercurialis annua,herb mercury,NCBI_taxon,Annotation Complete,PRJEB50969,"ddMerAnnu1, ddMerAnnu2"
Patella vulgata,common limpet,NCBI_taxon,Annotation Complete,PRJEB50713,xgPatVulg1
