organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000018688	NBNSYS0000027293	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia nobilis	(Winnertz, 1852)	Species	Ceratopogon nobilis		Y	Y		Y	Y																																				
NBNORG0000018689	NBNSYS0000027294	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia ornata	(Meigen, 1830)	Species	Ceratopogon ornata		Y	Y		Y	Y																																				
NBNORG0000018690	NBNSYS0000027295	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia pygmaea	Goetghebuer, 1920	Species			Y	Y		Y	Y																																				
NBNORG0000041234	NBNSYS0100019530	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia solstitialis	(Winnertz, 1852)	Species	Bezzia circumdata;Bezzia solstitalis;Ceratopogon circumdatus;Ceratopogon solstitialis		Y	Y		Y	Y																																				
NBNORG0000045176	NBNSYS0100019534	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia taeniata	(Haliday in Walker, 1856)	Species	Ceratopogon taeniatus		Y	Y		Y	Y																																				
NBNORG0000041240	NBNSYS0100001998	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Bezzia	Bezzia winnertziana	Kieffer, 1919	Species	Bezzia gracilis;Ceratopogon gracilis		Y	Y		Y	Y																																				
NBNORG0000009977	NBNSYS0000007523	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Bidessus	Bidessus minutissimus	(Germar, 1823)	Species			Y	Y		Y	Y	8	NR; Section 41 Priority Species; VU	Nationally Rare; S41. Priority Species; VU	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle, flow >> fast flow	W111	ERS (Coleoptera): 1	Arthropoda										RedList_GB_post2001-VU					BAP-2007		Scottish_Biodiversity_List	Env (Wales) Act S7						
NBNORG0000087586	NHMSYS0001717266	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Bidessus	Bidessus unistriatus	(Goeze, 1777)	Species			Y	Y		Y	Y	32	CR; NR; Section 41 Priority Species	CR; Nationally Rare; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	predator	predator	wetland	marshland	shallow freshwater pond >> aquatic: sparsely vegetated	W211		Arthropoda										RedList_GB_post2001-CR					BAP-2007	England_NERC_S.41								
NBNORG0000125091	NHMSYS0021193782	Animalia	Annelida	Clitellata	Crassiclitellata	Lumbricidae	Bimastos	Bimastos rubidus	(Savigny, 1826)	Species	Allolobophora norvegica;Dendrobaena rubida;Dendrodrilus rubidus;Dendrodrilus subrubicunda;Dendrodrilus tenuis;Enterion rubidum	Y	Y			Y	Y																																				
NBNORG0000086689	NBNSYS0000006616	Animalia	Mollusca	Gastropoda	Littorinimorpha	Bithyniidae	Bithynia	Bithynia leachii	(Sheppard, 1823)	Species	Bithynia (Codiella) leachii;Bithynia leachi			Y		Y	Y	1				herbivore	herbivore	wetland	running water		W125	grazing marsh - salinity: 0, grazing marsh - status: 2								RedList_Global_post2001-LC			RedList_GB_post2001-LC														
