Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
36	Morellia hortorum		Muscidae	Diptera					saprophagous	coprophagous	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only			Fagales	Morellia		hortorum		Morellia hortorum
37	Meroplius minutus		Sepsidae	Diptera	8	pNS; pVU	pNS; pVU	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	coprophagous			dung & carrion >> dung				Meroplius		minutus		Meroplius minutus
38	Sepsis luteipes		Sepsidae	Diptera					coprophagous	coprophagous			dung & carrion >> dung				Sepsis		luteipes		Sepsis luteipes
39	Actenicerus sjaelandicus	Marsh Click Beetle	Elateridae	Coleoptera	1				herbivore	does it feed?	wetland	acid & sedge peats	deep litter		acid mire: C		Actenicerus		sjaelandicus		Actenicerus sjaelandicus
40	Agriotes sordidus		Elateridae	Coleoptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	does it feed?	wetland	marshland	wetland vegetation				Agriotes		sordidus		Agriotes sordidus
41	Synaptus filiformis	Hairy Click Beetle	Elateridae	Coleoptera	16	RDB 1; Section 41 Priority Species	S41. Priority Species; [Threat]	Legal listing (1); [IUCN Threat listing] (1)	herbivore	does it feed?	wetland	marshland	drawdown zone: mud/shallow litter				Synaptus		filiformis		Synaptus filiformis
42	Trachys scrobiculatus	Ground-Ivy Jewel Beetle	Buprestidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity		calcareous grassland: High	Glechoma	Trachys		scrobiculatus		Trachys scrobiculatus
43	Trachys troglodytes	Devil's-Bit Jewel Beetle	Buprestidae	Coleoptera	8	NR	LC; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp		calcareous grassland: Moderate	Succisa pratensis	Trachys		troglodytes		Trachys troglodytes
44	Lebia chlorocephala		Carabidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> variable humidity		calcareous grassland: Moderate		Lebia		chlorocephala		Lebia chlorocephala
45	Dascillus cervinus	Orchid Beetle	Dascillidae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity		calcareous grassland: Low	Poaceae	Dascillus		cervinus		Dascillus cervinus
46	Drilus flavescens		Drilidae	Coleoptera	1		LC	IUCN Threat listing (1)	predator	does not feed	open habitats	tall sward & scrub	base status >> base rich, calcareous substrates >> chalk, habitats >> litter & ground layer, soil humidity >> dry, soil type >> sand		calcareous grassland: High	Mollusca	Drilus		flavescens		Drilus flavescens
47	Adrastus pallens		Elateridae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp			Asteraceae	Adrastus		pallens		Adrastus pallens
48	Adrastus rachifer		Elateridae	Coleoptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp		calcareous grassland: High		Adrastus		rachifer		Adrastus rachifer
49	Agriotes acuminatus		Elateridae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp			Asteraceae	Agriotes		acuminatus		Agriotes acuminatus
50	Agriotes lineatus		Elateridae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> damp			Asteraceae	Agriotes		lineatus		Agriotes lineatus
