Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
4475	Petrophora chlorosata	Brown Silver-line	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer				Petrophora		chlorosata		Petrophora chlorosata
4476	Phibalapteryx virgata	Oblique Striped	Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry		calcareous grassland: Low	Galium	Phibalapteryx		virgata		Phibalapteryx virgata
4477	Phigalia pilosaria	Pale Brindled Beauty	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Phigalia		pilosaria		Phigalia pilosaria
4478	Philereme transversata	Dark Umber	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Frangula alnus, Rhamnus cathartica	Philereme		transversata		Philereme transversata
4479	Philereme vetulata	Brown Scallop	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Rhamnus cathartica	Philereme		vetulata		Philereme vetulata
4480	Plagodis dolabraria	Scorched Wing	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula, Quercus	Plagodis		dolabraria		Plagodis dolabraria
4481	Plagodis pulveraria	Barred Umber	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Asteraceae, Betula, Corylus	Plagodis		pulveraria		Plagodis pulveraria
4482	Plemyria rubiginata	Blue-bordered Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Alnus, Prunus spinosa	Plemyria		rubiginata		Plemyria rubiginata
4483	Pseudopanthera macularia	Speckled Yellow	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry	F001		Teucrium scorodonia	Pseudopanthera		macularia		Pseudopanthera macularia
4484	Pseudoterpna pruinata	Grass Emerald	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Cytisus scoparius, Genista anglica, Ulex	Pseudoterpna		pruinata		Pseudoterpna pruinata
4485	Psodos coracina	Black Mountain Moth	Geometridae	Lepidoptera	4	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub; upland	base status >> acidic, habitats >> sward/field layer, soil humidity >> damp	F003, F221		Empetrum	Psodos		coracina		Psodos coracina
4486	Pterapherapteryx sexalata	Small Seraphim	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, carr/wet woodland, conifer or broadleaved >> broadleaved only			Salix	Pterapherapteryx		sexalata		Pterapherapteryx sexalata
4487	Rheumaptera cervinalis	Scarce Tissue	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Berberis vulgaris	Rheumaptera		cervinalis		Rheumaptera cervinalis
4488	Rheumaptera hastata	Argent & Sable	Geometridae	Lepidoptera	4	Section 41 Priority Species	S41. Priority Species	Legal listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only		acid mire: C	Betula	Rheumaptera		hastata		Rheumaptera hastata
4489	Rheumaptera undulata	Scallop Shell	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, carr/wet woodland, conifer or broadleaved >> broadleaved only			Populus tremula, Salix	Rheumaptera		undulata		Rheumaptera undulata
4490	Rhodometra sacraria	Vestal	Geometridae	Lepidoptera	1				herbivore	nectivore						Polygonum, Rubus	Rhodometra		sacraria		Rhodometra sacraria
4491	Scopula decorata	Middle Lace Border	Geometridae	Lepidoptera	1				herbivore	nectivore							Scopula		decorata		Scopula decorata
4492	Scopula emutaria	Rosy Wave	Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp		Wadensee Saltmarsh fidelity index: hal-1	Beta vulgaris subsp. maritima	Scopula		emutaria		Scopula emutaria
4493	Scopula floslactata	Cream Wave	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry	F001		Polygonum, Taraxacum	Scopula		floslactata		Scopula floslactata
4494	Scopula imitaria	Small Blood-vein	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae, Ligustrum	Scopula		imitaria		Scopula imitaria
4495	Scopula immorata	Lewes Wave	Geometridae	Lepidoptera	32	RE	RE	IUCN Threat listing (1)	herbivore	nectivore							Scopula		immorata		Scopula immorata
4496	Scopula immutata	Lesser Cream Wave	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Thalictrum	Scopula		immutata		Scopula immutata
4497	Scopula limboundata	Large Lace Border	Geometridae	Lepidoptera	1				herbivore	nectivore							Scopula		limboundata		Scopula limboundata
4498	Scopula marginepunctata	Mullein Wave	Geometridae	Lepidoptera	1	Section 41 Priority Species - research only	S41. Priority Species - research only	Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Achillea millefolium	Scopula		marginepunctata		Scopula marginepunctata
4499	Scopula nigropunctata	Sub-angled Wave	Geometridae	Lepidoptera	16	RDB 2	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Clematis vitalba, Taraxacum	Scopula		nigropunctata		Scopula nigropunctata
4500	Scopula ornata	Lace Border	Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High	Thymus	Scopula		ornata		Scopula ornata
4501	Scopula rubiginata	Tawny Wave	Geometridae	Lepidoptera	4	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111		Taraxacum	Scopula		rubiginata		Scopula rubiginata
4502	Scopula virgulata	Streaked Wave	Geometridae	Lepidoptera	1				herbivore	nectivore							Scopula		virgulata		Scopula virgulata
4503	Scotopteryx bipunctaria	Chalk Carpet	Geometridae	Lepidoptera	4	Section 41 Priority Species	S41. Priority Species	Legal listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	base status >> base rich, habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High, soft rock cliff: 3	Lotus	Scotopteryx		bipunctaria		Scotopteryx bipunctaria
4504	Scotopteryx chenopodiata	Shaded Broad-bar	Geometridae	Lepidoptera	1	Section 41 Priority Species - research only	S41. Priority Species - research only	Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Trifolium, Vicia	Scotopteryx		chenopodiata		Scotopteryx chenopodiata
4505	Scotopteryx luridata	July Belle	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Genista anglica, Genista tinctoria, Ulex	Scotopteryx		luridata		Scotopteryx luridata
4506	Scotopteryx moeniata	Fortified Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore							Scotopteryx		moeniata		Scotopteryx moeniata
4507	Scotopteryx peribolata	Spanish Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore						Cytisus	Scotopteryx		peribolata		Scotopteryx peribolata
4508	Selenia dentaria	Early Thorn	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Selenia		dentaria		Selenia dentaria
4509	Selenia lunularia	Lunar Thorn	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Selenia		lunularia		Selenia lunularia
4510	Selenia tetralunaria	Purple Thorn	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Asteraceae, Fagales	Selenia		tetralunaria		Selenia tetralunaria
4511	Selidosema brunnearia	Bordered Grey	Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry		acid mire: C	Calluna	Selidosema		brunnearia		Selidosema brunnearia
4512	Siona lineata	Black-veined Moth	Geometridae	Lepidoptera	32	Legal Protection; RDB 1; Section 41 Priority Species	Legal protection; S41. Priority Species; [Threat]	Legal listing (2); [IUCN Threat listing] (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High	Origanum	Siona		lineata		Siona lineata
4513	Spargania luctuata	White-banded Carpet	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Epilobium, Plantae	Spargania		luctuata		Spargania luctuata
4514	Stegania cararia	Ringed Border	Geometridae	Lepidoptera					herbivore	nectivore							Stegania		cararia		Stegania cararia
4515	Stegania trimaculata	Dorset Cream Wave	Geometridae	Lepidoptera	1				herbivore	nectivore							Stegania		trimaculata		Stegania trimaculata
4516	Tephronia sepiaria	Dusky Carpet	Geometridae	Lepidoptera					herbivore	nectivore							Tephronia		sepiaria		Tephronia sepiaria
4517	Thalera fimbrialis	Sussex Emerald	Geometridae	Lepidoptera	16	Legal Protection; RDB 1; Section 41 Priority Species	Legal protection; S41. Priority Species; [Threat]	Legal listing (2); [IUCN Threat listing] (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> stones, boulders, shingle and scree, habitats >> sward/field layer, soil humidity >> dry			Achillea, Ulex	Thalera		fimbrialis		Thalera fimbrialis
4518	Thera britannica	Spruce Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> conifer only			Picea, Pinus	Thera		britannica		Thera britannica
4519	Thera cognata	Chestnut-coloured Carpet	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only			Juniperus communis	Thera		cognata		Thera cognata
4520	Thera cupressata	Cypress Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore						Cupressus macrocarpa	Thera		cupressata		Thera cupressata
4521	Thera juniperata	Juniper Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only			Juniperus communis	Thera		juniperata		Thera juniperata
4522	Thera obeliscata	Grey Pine Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> conifer only			Picea, Pinus	Thera		obeliscata		Thera obeliscata
4523	Theria primaria	Early Moth	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Crataegus monogyna, Prunus spinosa	Theria		primaria		Theria primaria
4524	Thetidia smaragdaria	Essex Emerald	Geometridae	Lepidoptera	32	Legal Protection; RDB 1	Legal protection; [Threat]	Legal listing (1); [IUCN Threat listing] (1)	herbivore	nectivore	coastal	saltmarsh		M311			Thetidia		smaragdaria		Thetidia smaragdaria
4525	Timandra comae	Blood-vein	Geometridae	Lepidoptera	1	Section 41 Priority Species - research only	S41. Priority Species - research only	Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae, Rumex	Timandra		comae		Timandra comae
4526	Trichopteryx carpinata	Early Tooth-striped	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Alnus, Betula, Lonicera, Salix	Trichopteryx		carpinata		Trichopteryx carpinata
4527	Trichopteryx polycommata	Barred Tooth-striped	Geometridae	Lepidoptera	4	Section 41 Priority Species	S41. Priority Species	Legal listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Fraxinus, Ligustrum	Trichopteryx		polycommata		Trichopteryx polycommata
4528	Triphosa dubitata	Tissue	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Frangula alnus, Rhamnus cathartica	Triphosa		dubitata		Triphosa dubitata
4529	Venusia blomeri	Blomer's Rivulet	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Ulmus glabra	Venusia		blomeri		Venusia blomeri
4530	Venusia cambrica	Welsh Wave	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Sorbus	Venusia		cambrica		Venusia cambrica
4531	Xanthorhoe biriviata	Balsam Carpet	Geometridae	Lepidoptera	4	[RDB 3]	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Impatiens capensis	Xanthorhoe		biriviata		Xanthorhoe biriviata
4532	Xanthorhoe designata	Flame Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Brassica	Xanthorhoe		designata		Xanthorhoe designata
4533	Xanthorhoe ferrugata	Dark-barred Twin-spot Carpet	Geometridae	Lepidoptera	1	Section 41 Priority Species - research only	S41. Priority Species - research only	Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae	Xanthorhoe		ferrugata		Xanthorhoe ferrugata
4534	Xanthorhoe fluctuata	Garden Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Brassicaceae	Xanthorhoe		fluctuata		Xanthorhoe fluctuata
4535	Xanthorhoe montanata	Silver-ground Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Galium	Xanthorhoe		montanata		Xanthorhoe montanata
4536	Xanthorhoe quadrifasiata	Large Twin-spot Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Galium, Plantae	Xanthorhoe		quadrifasiata		Xanthorhoe quadrifasiata
4537	Xanthorhoe spadicearia	Red Twin-spot Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Asteraceae, Galium, Polygonum	Xanthorhoe		spadicearia		Xanthorhoe spadicearia
4538	Acrolepia autumnitella	Bittersweet Smudge	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Solanum dulcamara	Acrolepia		autumnitella		Acrolepia autumnitella
4539	Acrolepiopsis assectella	Leek Moth	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Allium, Allium cepa	Acrolepiopsis		assectella		Acrolepiopsis assectella
4540	Acrolepiopsis betulella	Oban Smudge	Glyphipterigidae	Lepidoptera	8	pRDB 2	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Allium ursinum	Acrolepiopsis		betulella		Acrolepiopsis betulella
4541	Acrolepiopsis marcidella	Elusive Smudge	Glyphipterigidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only				Acrolepiopsis		marcidella		Acrolepiopsis marcidella
4542	Digitivalva perlepidella	Spikenard Smudge	Glyphipterigidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Inula conyzae	Digitivalva		perlepidella		Digitivalva perlepidella
4543	Digitivalva pulicariae	Fleabane Smudge	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer			Erigeron	Digitivalva		pulicariae		Digitivalva pulicariae
4544	Glyphipterix equitella	Stonecrop Fanner	Glyphipterigidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> stones, boulders, shingle and scree			Sedum acre	Glyphipterix		equitella		Glyphipterix equitella
4545	Glyphipterix forsterella	Sedge Fanner	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Carex	Glyphipterix		forsterella		Glyphipterix forsterella
4546	Glyphipterix fuscoviridella	Plain Fanner	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Luzula campestris	Glyphipterix		fuscoviridella		Glyphipterix fuscoviridella
4547	Glyphipterix haworthana	Cotton-grass Fanner	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	wetland	acid & sedge peats	wet/damp peat			Eriophorum	Glyphipterix		haworthana		Glyphipterix haworthana
4548	Glyphipterix schoenicolella	Bog-rush Fanner	Glyphipterigidae	Lepidoptera	4				herbivore	nectivore	wetland	acid & sedge peats				Juncus	Glyphipterix		schoenicolella		Glyphipterix schoenicolella
4549	Glyphipterix simpliciella	Cocksfoot Moth	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Poaceae	Glyphipterix		simpliciella		Glyphipterix simpliciella
4550	Glyphipterix thrasonella	Speckled Fanner	Glyphipterigidae	Lepidoptera	1				herbivore	nectivore	wetland	marshland				Juncus	Glyphipterix		thrasonella		Glyphipterix thrasonella
4551	Orthotelia sparganella	Reed Smudge	Glyphipterigidae	Lepidoptera					herbivore	nectivore	wetland					Asteraceae, Glyceria maxima, Iris, Poaceae, Sparganium	Orthotelia		sparganella		Orthotelia sparganella
4552	Acrocercops brongniardella	Brown Oak Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Acrocercops		brongniardella		Acrocercops brongniardella
4553	Aspilapteryx tringipennella	Ribwort Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Plantago lanceolata	Aspilapteryx		tringipennella		Aspilapteryx tringipennella
4554	Callisto coffeella	Highland Slender	Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy, leaves and/or stems >> leaves (miners)			Salix	Callisto		coffeella		Callisto coffeella
4555	Callisto denticulella	Garden Apple Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, leaves and/or stems >> leaves (miners)			Malus	Callisto		denticulella		Callisto denticulella
4556	Caloptilia alchimiella	Yellow-triangle Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Caloptilia		alchimiella		Caloptilia alchimiella
4557	Caloptilia azaleella	Azalea Leaf Miner	Gracillariidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Rhododendron, Rhododendron ponticum	Caloptilia		azaleella		Caloptilia azaleella
4558	Caloptilia betulicola	Red Birch Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore						Betula	Caloptilia		betulicola		Caloptilia betulicola
4559	Caloptilia cuculipennella	Feathered Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Fraxinus, Ligustrum	Caloptilia		cuculipennella		Caloptilia cuculipennella
4560	Caloptilia elongella	Pale Red Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy			Alnus	Caloptilia		elongella		Caloptilia elongella
4561	Caloptilia falconipennella	Scarce Alder Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore						Alnus	Caloptilia		falconipennella		Caloptilia falconipennella
4562	Caloptilia hemidactylella	Sycamore Slender	Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore						Acer	Caloptilia		hemidactylella		Caloptilia hemidactylella
4563	Caloptilia populetorum	Clouded Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Caloptilia		populetorum		Caloptilia populetorum
4564	Caloptilia robustella	New Oak Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Quercus	Caloptilia		robustella		Caloptilia robustella
4565	Caloptilia rufipennella	Small Red Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer pseudoplatanus	Caloptilia		rufipennella		Caloptilia rufipennella
4566	Caloptilia semifascia	Maple Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre	Caloptilia		semifascia		Caloptilia semifascia
4567	Caloptilia stigmatella	White-triangle Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Caloptilia		stigmatella		Caloptilia stigmatella
4568	Calybites phasianipennella	Little Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore							Calybites		phasianipennella		Calybites phasianipennella
4569	Cameraria ohridella	Horse-Chestnut Leaf-miner	Gracillariidae	Lepidoptera	1				herbivore	nectivore						Aesculus hippocastanum	Cameraria		ohridella		Cameraria ohridella
4570	Cameraria ohridella	Horse-Chestnut Leaf-miner	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Aesculus hippocastanum	Cameraria		ohridella		Cameraria ohridella
4571	Dialectica imperialella	Fen Slender	Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Lithospermum officinale, Pulmonaria officinalis	Dialectica		imperialella		Dialectica imperialella
4572	Euspilapteryx auroguttella	Gold-dot Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Hypericum	Euspilapteryx		auroguttella		Euspilapteryx auroguttella
4573	Gracillaria syringella	Common Slender	Gracillariidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Fraxinus, Ligustrum	Gracillaria		syringella		Gracillaria syringella
4574	Leucospilapteryx omissella	Mugwort Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Artemisia	Leucospilapteryx		omissella		Leucospilapteryx omissella
4575	Parectopa ononidis	Clover Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Fabaceae	Parectopa		ononidis		Parectopa ononidis
4576	Parornix alpicola		Gracillariidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore						Dryas octopetala	Parornix		alpicola		Parornix alpicola
4577	Parornix anglicella	Hawthorn Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Crataegus	Parornix		anglicella		Parornix anglicella
4578	Parornix betulae	Brown Birch Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Parornix		betulae		Parornix betulae
4579	Parornix carpinella	Hornbeam Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Acer, Carpinus	Parornix		carpinella		Parornix carpinella
4580	Parornix devoniella	Hazel Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Corylus	Parornix		devoniella		Parornix devoniella
4581	Parornix fagivora	Beech Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Fagus	Parornix		fagivora		Parornix fagivora
4582	Parornix finitimella	Pointed Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)			Prunus	Parornix		finitimella		Parornix finitimella
4583	Parornix loganella	Northern Slender	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Parornix		loganella		Parornix loganella
4584	Parornix scoticella	Rowan Slender	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Sorbus	Parornix		scoticella		Parornix scoticella
4585	Parornix torquillella	Blackthorn Slender	Gracillariidae	Lepidoptera					herbivore	nectivore						Prunus	Parornix		torquillella		Parornix torquillella
4586	Phyllocnistis ramulicola		Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllocnistis		ramulicola		Phyllocnistis ramulicola
4587	Phyllocnistis saligna	Willow Bent-wing	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Salix	Phyllocnistis		saligna		Phyllocnistis saligna
4588	Phyllocnistis unipunctella	Poplar Bent-wing	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Populus	Phyllocnistis		unipunctella		Phyllocnistis unipunctella
4589	Phyllocnistis xenia	Kent Bent-wing	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Populus	Phyllocnistis		xenia		Phyllocnistis xenia
4590	Phyllonorycter acerifoliella	Maple Midget	Gracillariidae	Lepidoptera					herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre	Phyllonorycter		acerifoliella		Phyllonorycter acerifoliella
4591	Phyllonorycter anderidae	Small Birch Midget	Gracillariidae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Phyllonorycter		anderidae		Phyllonorycter anderidae
