organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000038669	NBNSYS0000186306	Animalia	Annelida	Polychaeta	Spionida	Spionidae	Pseudopolydora	Pseudopolydora cf. paucibranchiata	(Okuda, 1937)	Species	Pseudopolydora cf. pauchibranchiata;Pseudopolydora cfPaucibranchiata				Y																																						
NBNORG0000052224	NHMSYS0000352682	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Pseudorthocladius	Pseudorthocladius Pe3	Langton	Species			Y																																								
NBNORG0000062455	NHMSYS0000551687	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Pseudosmittia	Pseudosmittia Pe2	Langton & Visser, 2003	Species			Y																																								
NBNORG0000123072	NHMSYS0021762100	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Pseudosperma	Pseudosperma rimosum s. lat.		Species	Inocybe fastigiata;Inocybe rimosa s. lat.		Y																																								
NBNORG0000050920	NHMSYS0000318661	Animalia	Arthropoda	Malacostraca	Tanaidacea	Pseudotanaidae	Pseudotanais	Pseudotanais ? lilljeborgi	G.O. Sars, 1882	Species					Y																																						
NBNORG0000108353	NHMSYS0020977817	Animalia	Arthropoda	Malacostraca	Isopoda	Philosciidae	Pseudotyphloscia	Pseudotyphloscia sp.		Species			Y																										RedList_GB_post2001-NA														
NBNORG0000132793	NHMSYS0021388559	Animalia	Arthropoda	Diplopoda	Chordeumatida	Vandeleumatidae	Psichrosoma	Psichrosoma cf. breuili		Species		Y	Y																																								
NBNORG0000129680	NHMSYS0021237670	Animalia	Arthropoda	Arachnida	Trombidiformes	Psorergatidae	Psorergatoides	Psorergatoides sp. A		Species			Y																																								
NBNORG0000134545	NHMSYS0021652440	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	Ptychostomum	Ptychostomum rubens sensu Bijlsma et al. 2020		Species			Y																																								
NBNORG0000136484	BMSSYS0000015635	Fungi	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia coronata var. avenae	W.P. Fraser & Ledingham	Species	Puccinia coronata var. avenae f. sp. avenae;Puccinia coronata var. avenae f. sp. graminicola		Y																																								
