TAXON_GROUP_NAME	TAXON_LIST_KEY	TAXON_LIST_VERSION_KEY	TAXON_LIST_ITEM_KEY	PARENT	TAXON_VERSION_KEY	PREFERRED_NAME	SORT_CODE	LST_ITM_CODE	TAXON_RANK_KEY	LONG_NAME	ITEM_NAME	AUTHORITY	ATTRIBUTE	LANGUAGE	NOTE	CHANGED_BY	CHANGED_DATE	DELETED_DATE
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173322		NBNSYS0100014831	NHMSYS0021173322			NBNSYS0000000028	Species	Psammoryctides albicola	(Michaelsen)		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176119		NHMSYS0020461074	NHMSYS0021176119			NBNSYS0000000028	Species	Psammoryctides barbatus	(Grube, 1861)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171766		NBNSYS0000136966	NHMSYS0021171766			NBNSYS0000000022	Genus	Psectrocladius	Kieffer, 1906		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171765		NHMSYS0000841265	NHMSYS0021171765			NBNSYS0000000023	Subgenus	Psectrocladius	Kieffer, 1906		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173323		NBNSYS0100014862	NHMSYS0021173323			NBNSYS0000000023	Subgenus	Psectrocladius (Monopsectrocladius)			la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176140		NHMSYS0020475583	NHMSYS0021176140			NBNSYS0000000028	Species	Psectrocladius (Other)			la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175835		NHMSYS0020063224	NHMSYS0021175835			NBNSYS0000000028	Species	Psectrocladius (Psectrocladius) brehmi	Kieffer, 1923		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172517		NBNSYS0100004895	NHMSYS0021172517			NBNSYS0000000028	Species	Psectrocladius barbatipes	Kieffer, 1923		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170943		NBNSYS0000027449	NHMSYS0021170943			NBNSYS0000000028	Species	Psectrocladius barbimanus	(Edwards, 1929)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172518		NBNSYS0100004896	NHMSYS0021172518			NBNSYS0000000028	Species	Psectrocladius bisetus	Goetghebuer, 1942		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170940		NBNSYS0000027446	NHMSYS0021170940			NBNSYS0000000028	Species	Psectrocladius calcaratus	(Edwards, 1929)		la		NHMSYS0020970929	15/06/2017	
