For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
insect - beetle (Coleoptera)	Agonum micans	(Nicolai, 1822)		NBNSYS0000007329										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agonum muelleri	(Herbst, 1784)		NBNSYS0000007331										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agonum nigrum	Dejean, 1828		NBNSYS0000007332										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Agonum piceum	(Linnaeus, 1758)		NBNSYS0000007334										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agonum scitulum	Dejean, 1828		NBNSYS0000007337										RedList_GB_post2001-CR			NR-includes		BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
insect - beetle (Coleoptera)	Agonum sexpunctatum	(Linnaeus, 1758)		NBNSYS0000007338										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Agonum thoreyi	Dejean, 1828		NBNSYS0000007339										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agonum versutum	Sturm, 1824		NBNSYS0000007340										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Agonum viduum	(Panzer, 1796)		NBNSYS0000007341										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agrilinus ater	(De Geer, 1774)		NHMSYS0021442415										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agrilinus constans	(Duftschmid, 1805)		NHMSYS0021442420										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Agrilus angustulus	(Illiger, 1803)		NBNSYS0000024214										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Agrilus biguttatus	(Fabricius, 1777)		NBNSYS0000141287										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agrilus cuprescens	(Ménétries, 1832)		NHMSYS0021008077										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Agrilus cyanescens	(Ratzeburg, 1837)		NHMSYS0021008083										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Agrilus laticornis	(Illiger, 1803)		NBNSYS0000024215										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agrilus sinuatus	(Olivier, 1790)		NBNSYS0000024217										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Agrilus sulcicollis	Lacordaire, 1835		NBNSYS0100001433										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Agrilus viridis	(Linnaeus, 1758)		NBNSYS0000024218										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Agriotes sordidus	(Illiger, 1807)		NBNSYS0000010973								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Aizobius sedi	(Germar, 1818)		NBNSYS0000025010														Notable-B										
insect - beetle (Coleoptera)	Aleochara binotata	Kraatz, 1856		NBNSYS0000033099								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aleochara brevipennis	Gravenhorst, 1806		NBNSYS0000024073														Notable										
insect - beetle (Coleoptera)	Aleochara discipennis	Mulsant & Rey, 1853		NBNSYS0000024076														Notable										
insect - beetle (Coleoptera)	Aleochara diversa	(Sahlberg, J., 1876)		NBNSYS0000024077														Notable										
insect - beetle (Coleoptera)	Aleochara fumata	Gravenhorst, 1802		NBNSYS0000024078								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aleochara inconspicua	Aubé, 1850		NBNSYS0000024081								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aleochara lygaea	Kraatz, 1862		NBNSYS0000024085								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Aleochara maculata	Brisout de Barneville, C., 1863		NBNSYS0000024086								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Aleochara moerens	Gyllenhal, 1827		NBNSYS0000024087														Notable										
insect - beetle (Coleoptera)	Aleochara moesta	Gravenhorst, 1802		NBNSYS0000024088								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aleochara obscurella	Gravenhorst, 1806		NHMSYS0021232867								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Aleochara ruficornis	Gravenhorst, 1802		NBNSYS0000024092														Notable										
insect - beetle (Coleoptera)	Aleochara sanguinea	(Linnaeus, 1758)		NBNSYS0000024093														Notable										
insect - beetle (Coleoptera)	Aleochara stichai	Likovský, 1965		NBNSYS0000024096														Notable										
insect - beetle (Coleoptera)	Aleochara verna	Say, 1833		NBNSYS0000024098								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aleochara villosa	Mannerheim, 1830		NBNSYS0000024099								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Alevonota egregia	(Rye, 1876)		NBNSYS0000023963								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Alevonota gracilenta	(Erichson, 1839)		NBNSYS0000023964								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Alevonota rufotestacea	(Kraatz, 1856)		NBNSYS0000023965								RedList_GB_Pre94-Inde						Notable										
insect - beetle (Coleoptera)	Aloconota coulsoni	(Last, 1952)		NBNSYS0000023788								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Aloconota eichhoffi	(Scriba, 1868)		NBNSYS0000023782														Notable										
insect - beetle (Coleoptera)	Aloconota languida	(Erichson, 1837)		NBNSYS0000023789														Notable										
insect - beetle (Coleoptera)	Aloconota longicollis	(Mulsant & Rey, 1852)		NBNSYS0000023790														Notable										
insect - beetle (Coleoptera)	Aloconota mihoki	(Bernhauer, 1913)		NBNSYS0000023785								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Aloconota planifrons	(Waterhouse, G.R., 1863)		NBNSYS0000023781								RedList_GB_Pre94-Insu											NI_Priority					
insect - beetle (Coleoptera)	Aloconota subgrandis	(Brundin, 1954)		NBNSYS0000023786								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Alosterna tabacicolor	(De Geer, 1775)		NHMSYS0020151177										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Alphitobius diaperinus	(Panzer, 1796)		NBNSYS0000024844										RedList_GB_post2001-NE														
insect - beetle (Coleoptera)	Alphitobius laevigatus	(Fabricius, 1781)		NHMSYS0020151180										RedList_GB_post2001-NE														
insect - beetle (Coleoptera)	Alphitophagus bifasciatus	(Say, 1824)		NBNSYS0000024834										RedList_GB_post2001-NE														
insect - beetle (Coleoptera)	Altica brevicollis	Foudras, 1860		NBNSYS0000011271										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Altica carinthiaca	Weise, 1888		NHMSYS0001744222										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Altica helianthemi	(Allard, 1859)		NHMSYS0001744223										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Altica longicollis	(Allard, 1860)		NHMSYS0001744224										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Altica lythri	Aubé, 1843		NHMSYS0020151191										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Altica oleracea	(Linnaeus, 1758)		NBNSYS0000011275										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Altica palustris	Weise, 1888		NBNSYS0000011276										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara aenea	(De Geer, 1774)		NBNSYS0000007343										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara anthobia	Villa & Villa, 1833		NBNSYS0000007345										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Amara apricaria	(Paykull, 1790)		NBNSYS0000007346										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara bifrons	(Gyllenhal, 1810)		NBNSYS0000007348										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara communis	(Panzer, 1797)		NBNSYS0000007349										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara consularis	(Duftschmid, 1812)		NBNSYS0000007350										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara convexior	Stephens, 1828		NBNSYS0000007351										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara cursitans	Zimmermann, C., 1832		NBNSYS0000007353										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Amara curta	Dejean, 1828		NBNSYS0000007354										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara equestris	(Duftschmid, 1812)		NBNSYS0000007355										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara eurynota	(Panzer, 1796)		NBNSYS0000007356										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara famelica	Zimmermann, C., 1832		NBNSYS0000007357										RedList_GB_post2001-EN			NR-includes		BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Amara familiaris	(Duftschmid, 1812)		NBNSYS0000007358										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara fulva	(Müller, O.F., 1776)		NBNSYS0000007359										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara fusca	Dejean, 1828		NBNSYS0000007360										RedList_GB_post2001-EN			NR-includes		BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Amara infima	(Duftschmid, 1812)		NBNSYS0000007361										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Amara lucida	(Duftschmid, 1812)		NBNSYS0000007362										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara lunicollis	Schiødte, 1837		NBNSYS0000007363										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara montivaga	Sturm, 1825		NBNSYS0000007364										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara nitida	Sturm, 1825		NBNSYS0000007365										RedList_GB_post2001-EN			NR-includes											
insect - beetle (Coleoptera)	Amara ovata	(Fabricius, 1792)		NHMSYS0020109252										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara plebeja	(Gyllenhal, 1810)		NBNSYS0000007367										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara praetermissa	(Sahlberg, C.R., 1827)		NBNSYS0000007368										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Amara quenseli	(Schönherr, 1806)		NBNSYS0000007369										RedList_GB_post2001-EN			NR-includes											
insect - beetle (Coleoptera)	Amara similata	(Gyllenhal, 1810)		NBNSYS0000007370										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amara spreta	Dejean, 1831		NBNSYS0000007371										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Amara strenua	Zimmermann, C., 1832		NBNSYS0000007372										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Amara tibialis	(Paykull, 1798)		NBNSYS0000007373										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amarochara bonnairei	(Fauvel, 1865)		NBNSYS0000024008								RedList_GB_Pre94-Inde																
insect - beetle (Coleoptera)	Amarochara forticornis	(Lacordaire, 1835)		NBNSYS0000024009								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Amarochara umbrosa	(Erichson, 1837)		NBNSYS0000024010														Notable										
insect - beetle (Coleoptera)	Amauronyx maerkelii	(Aubé, 1844)		NHMSYS0001716767								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Amidobia talpa	(Heer, 1841)		NBNSYS0000023798														Notable										
insect - beetle (Coleoptera)	Ammoecius brevis	(Erichson, 1848)		NBNSYS0000141605										RedList_GB_post2001-CR(PE)			NR-includes											
insect - beetle (Coleoptera)	Ampedus cardinalis	(Schiødte, 1865)		NHMSYS0001716777							RedList_Global_post2001-NT	RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Ampedus cinnabarinus	(Eschscholtz, 1829)		NBNSYS0000010912								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Ampedus elongatulus	(Fabricius, 1787)		NHMSYS0021422184														Notable-A										
insect - beetle (Coleoptera)	Ampedus nigerrimus	(Lacordaire, 1835)		NBNSYS0000010914								RedList_GB_Pre94-EN																
insect - beetle (Coleoptera)	Ampedus nigrinus	(Herbst, 1784)		NBNSYS0000010915														Notable-B										
insect - beetle (Coleoptera)	Ampedus pomorum	(Herbst, 1784)		NBNSYS0000010917														Notable-B										
insect - beetle (Coleoptera)	Ampedus quercicola	(du Buysson, 1887)		NBNSYS0000010916														Notable-B										
insect - beetle (Coleoptera)	Ampedus rufipennis	(Stephens, 1830)		NBNSYS0000010920								RedList_GB_Pre94-VU							BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Ampedus sanguineus	(Linnaeus, 1758)		NBNSYS0000010921								RedList_GB_Pre94-EX																
insect - beetle (Coleoptera)	Ampedus sanguinolentus	(Schrank, 1776)		NBNSYS0000010922														Notable-A										
insect - beetle (Coleoptera)	Ampedus tristis	(Linnaeus, 1758)		NBNSYS0000010923								RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Amphimallon fallenii	(Gyllenhal, 1817)		NHMSYS0021366869										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Amphimallon solstitiale	(Linnaeus, 1758)		NBNSYS0000141623										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Amphotis marginata	(Fabricius, 1781)		NHMSYS0020151202								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anacaena limbata	(Fabricius, 1792)		NHMSYS0001716791																	Scottish_Biodiversity_List							
insect - beetle (Coleoptera)	Anaglyptus mysticus	(Linnaeus, 1758)		NBNSYS0000011047										RedList_GB_post2001-LC				Notable-B										
insect - beetle (Coleoptera)	Anaspis bohemica	Schilsky, 1899		NBNSYS0000024904										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Anaspis costai	Emery, 1876		NBNSYS0000024905										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anaspis fasciata	(Forster, 1771)		NHMSYS0020151225										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis frontalis	(Linnaeus, 1758)		NBNSYS0000024907										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis garneysi	Fowler, 1889		NBNSYS0000024908										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis lurida	Stephens, 1832		NBNSYS0000024910										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis maculata	(Geoffroy in Fourcroy, 1785)		NBNSYS0000024911										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis melanostoma	Costa, A., 1854		NBNSYS0000024912								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anaspis pulicaria	Costa, A., 1854		NBNSYS0000024913										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis regimbarti	Schilsky, 1895		NBNSYS0000024914										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis rufilabris	(Gyllenhal, 1827)		NBNSYS0000024915										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anaspis thoracica	(Linnaeus, 1758)		NBNSYS0000024918										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anastrangalia sanguinolenta	(Linnaeus, 1761)		NHMSYS0020151246										RedList_GB_post2001-CR			NR-includes											
insect - beetle (Coleoptera)	Anchomenus dorsalis	(Pontoppidan, 1763)		NHMSYS0001716795										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anchonidium unguiculare	(Aubé, 1850)		NHMSYS0020151249								RedList_GB_Pre94-VU																
insect - beetle (Coleoptera)	Ancistronycha abdominalis	(Fabricius, 1798)		NHMSYS0001716799										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anisandrus dispar	(Fabricius, 1792)		NBNSYS0000141781														Notable-B										
insect - beetle (Coleoptera)	Anisodactylus binotatus	(Fabricius, 1787)		NHMSYS0001716807										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anisodactylus nemorivagus	(Duftschmid, 1812)		NBNSYS0000007411										RedList_GB_post2001-NT			NR-includes		BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Anisodactylus poeciloides	(Stephens, 1828)		NBNSYS0000007412										RedList_GB_post2001-LC			NS-includes		BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Anisoxya fuscula	(Illiger, 1798)		NBNSYS0000024887										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anitys rubens	(Hoffmann, J., 1803)		NHMSYS0001716819										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anobium inexspectatum	Lohse, 1954		NBNSYS0000024320										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anobium punctatum	(De Geer, 1774)		NHMSYS0001716823										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anomala dubia	(Scopoli, 1763)		NBNSYS0000011543										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anommatus diecki	Reitter, 1875		NBNSYS0000024687								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anommatus duodecimstriatus	(Müller, P.W.J., 1821)		NHMSYS0020151255														Notable-A										
insect - beetle (Coleoptera)	Anoplodera sexguttata	(Fabricius, 1775)		NHMSYS0020151259										RedList_GB_post2001-NT			NR-includes											
insect - beetle (Coleoptera)	Anoplotrupes stercorosus	(Scriba, 1791)		NHMSYS0001716840										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anoplus roboris	Suffrian, 1840		NBNSYS0000025261														Notable-B										
insect - beetle (Coleoptera)	Anostirus castaneus	(Linnaeus, 1758)		NBNSYS0000010957								RedList_GB_Pre94-EN							BAP-2007	England_NERC_S.41								
insect - beetle (Coleoptera)	Anotylus fairmairei	(Pandellé, 1867)		NHMSYS0001716845								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anotylus hamatus	(Fairmaire & Laboulbène, 1856)		NHMSYS0001716846														Notable										
insect - beetle (Coleoptera)	Anotylus insecatus	(Gravenhorst, 1806)		NBNSYS0000023250														Notable										
insect - beetle (Coleoptera)	Anotylus mutator	(Lohse, 1963)		NBNSYS0000023253														Notable										
insect - beetle (Coleoptera)	Anotylus saulcyi	(Pandellé, 1867)		NHMSYS0001716850														Notable										
insect - beetle (Coleoptera)	Anthaxia nitidula	(Linnaeus, 1758)		NBNSYS0000024213										RedList_GB_post2001-RE														
insect - beetle (Coleoptera)	Anthaxia quadripunctata	(Linnaeus, 1758)		NHMSYS0020919937										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Antherophagus silaceus	(Herbst, 1792)		NHMSYS0020151264														Notable-B										
insect - beetle (Coleoptera)	Anthicus angustatus	Curtis, 1838		NBNSYS0000024955										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Anthicus antherinus	(Linnaeus, 1761)		NBNSYS0000024956										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anthicus bimaculatus	(Illiger, 1801)		NBNSYS0000024958										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Anthicus flavipes	(Panzer, 1796)		NHMSYS0020151270										RedList_GB_post2001-LC			NR-includes						NI_Priority					
insect - beetle (Coleoptera)	Anthicus tristis	Schmidt, W.L.E., 1842		NBNSYS0000024967										RedList_GB_post2001-VU			NR-includes											
insect - beetle (Coleoptera)	Anthocomus fasciatus	(Linnaeus, 1758)		NBNSYS0000024407										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anthocomus rufus	(Herbst, 1784)		NBNSYS0000024408										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anthonomus chevrolati	Desbrochers des Loges, 1868		NBNSYS0000025443								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anthonomus conspersus	Desbrochers des Loges, 1868		NBNSYS0000025444														Notable-B										
insect - beetle (Coleoptera)	Anthonomus phyllocola	(Herbst, 1795)		NHMSYS0020151293														Notable-B										
insect - beetle (Coleoptera)	Anthonomus pomorum	(Linnaeus, 1758)		NBNSYS0000025448								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anthonomus pyri	Gyllenhal, 1835		NHMSYS0021367014								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Anthonomus rufus	Gyllenhal, 1836		NBNSYS0000025450								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Anthonomus ulmi	(De Geer, 1775)		NBNSYS0000025451														Notable-B										
insect - beetle (Coleoptera)	Anthophagus alpinus	(Paykull, 1790)		NBNSYS0000023126														Notable										
insect - beetle (Coleoptera)	Anthracus consputus	(Duftschmid, 1812)		NHMSYS0001716871										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Anthrenocerus australis	(Hope, 1843)		NBNSYS0000024293										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus angustefasciatus	Ganglbauer, 1904		NHMSYS0021123410										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus coloratus	Reitter, 1881		NBNSYS0000005387										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus flavipes	LeConte, 1854		NBNSYS0000024295										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus fuscus	Olivier, 1790		NBNSYS0000024296										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Anthrenus museorum	(Linnaeus, 1761)		NBNSYS0000024297										RedList_GB_post2001-DD														
insect - beetle (Coleoptera)	Anthrenus olgae	Kalik, 1946		NBNSYS0000005388										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus pimpinellae	Fabricius, 1775		NBNSYS0000024298										RedList_GB_post2001-DD														
insect - beetle (Coleoptera)	Anthrenus sarnicus	Mroczkowski, 1963		NBNSYS0000024299										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus scrophulariae	(Linnaeus, 1758)		NBNSYS0000024300										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthrenus verbasci	(Linnaeus, 1767)		NBNSYS0000024301										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Anthribus fasciatus	Forster, 1770		NHMSYS0020151301														Notable-A										
insect - beetle (Coleoptera)	Anthribus nebulosus	Forster, 1770		NHMSYS0020151302														Notable-B										
insect - beetle (Coleoptera)	Aphanisticus emarginatus	(Olivier, 1790)		NBNSYS0000024219										RedList_GB_post2001-CR(PE)			NR-includes											
insect - beetle (Coleoptera)	Aphanisticus pusillus	(Olivier, 1790)		NBNSYS0000024220										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Aphodius (Nialus) ?varians	Duftschmid, 1805		NHMSYS0001716946										RedList_GB_post2001-RE														
insect - beetle (Coleoptera)	Aphodius (Trichonotulus) scrofa	(Fabricius, 1787)		NHMSYS0001716966										RedList_GB_post2001-RE														
insect - beetle (Coleoptera)	Aphodius fimetarius	(Linnaeus, 1758)		NHMSYS0021232873										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphodius foetidus	(Herbst, 1783)		NBNSYS0000011481										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphodius pedellus	(De Geer, 1774)		NHMSYS0020919939										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona atratula	Allard, 1859		NHMSYS0001744226										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona atrocaerulea	(Stephens, 1831)		NHMSYS0020151309										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona euphorbiae	(Schrank, 1781)		NBNSYS0000011225										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona herbigrada	(Curtis, 1837)		NBNSYS0000011226										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona lutescens	(Gyllenhal, 1813)		NHMSYS0020151311										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona melancholica	Weise, 1888		NBNSYS0000011228										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aphthona nigriceps	(Redtenbacher, W., 1842)		NBNSYS0000011229										RedList_GB_post2001-DD,RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Aphthona nonstriata	(Goeze, 1777)		NBNSYS0000011230										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Apion rubiginosum	Grill, 1893		NBNSYS0000025027								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Aplocnemus impressus	(Marsham, 1802)		NHMSYS0001717020										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Aplocnemus nigricornis	(Fabricius, 1792)		NHMSYS0001717021										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Aplotarsus angustulus	(Kiesenwetter, 1858)		NBNSYS0000010960								RedList_GB_Pre94-R																
insect - beetle (Coleoptera)	Apteropeda globosa	(Illiger, 1794)		NBNSYS0000011312										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Apteropeda orbiculata	(Marsham, 1802)		NBNSYS0000011313										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Apteropeda splendida	Allard, 1860		NBNSYS0000011314										RedList_GB_post2001-CR(PE)			NR-includes											
insect - beetle (Coleoptera)	Arena tabida	(Kiesenwetter, 1850)		NBNSYS0000023719								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Arhopalus ferus	(Mulsant, 1839)		NBNSYS0000142275										RedList_GB_post2001-NA														
insect - beetle (Coleoptera)	Arhopalus rusticus	(Linnaeus, 1758)		NBNSYS0000010997										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aromia moschata	(Linnaeus, 1758)		NBNSYS0000011038										RedList_GB_post2001-LC				Notable-B										
insect - beetle (Coleoptera)	Asaphidion curtum	(Heyden, 1870)		NBNSYS0000007203										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Asaphidion flavipes	(Linnaeus, 1761)		NBNSYS0000007204										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Asaphidion pallipes	(Duftschmid, 1812)		NBNSYS0000007206										RedList_GB_post2001-LC			NS-includes											
insect - beetle (Coleoptera)	Asaphidion stierlini	(Heyden, 1880)		NBNSYS0000007207										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Asemum striatum	(Linnaeus, 1758)		NBNSYS0000010999										RedList_GB_post2001-LC														
insect - beetle (Coleoptera)	Aspidapion soror	(Rey, 1895)		NBNSYS0000025015														Notable-A										
insect - beetle (Coleoptera)	Astenus immaculatus	Stephens, 1833		NBNSYS0000023390														Notable										
insect - beetle (Coleoptera)	Astenus procerus	(Gravenhorst, 1806)		NBNSYS0000023392								RedList_GB_Pre94-Insu																
insect - beetle (Coleoptera)	Astenus serpentinus	(Motschulsky, 1858)		NHMSYS0020919940								RedList_GB_Pre94-Inde																
