For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
marine mammal	Mesoplodon europaeus	(Gervais, 1855)		NBNSYS0000188757	Bern-A3				HabDir-A4	ECCITES-A	RedList_Global_post2001-DD													WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Mesoplodon mirus	True, 1913		NBNSYS0000005169	Bern-A2				HabDir-A4	ECCITES-A	RedList_Global_post2001-DD								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Monodon monoceros	Linnaeus, 1758		NBNSYS0000188753	Bern-A2,Bern-A3		CMS_A2		HabDir-A4	ECCITES-A														WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Odobenus rosmarus	(Linnaeus, 1758)		NBNSYS0000188733	Bern-A2																			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
marine mammal	Orcinus orca	(Linnaeus, 1758)		NBNSYS0000005173	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-DD								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Pagophilus groenlandicus	(Erxleben, 1777)		NBNSYS0000005138	Bern-A3				HabDir-A4																	HabReg-Sch4		
marine mammal	Peponocephala electra	(Gray, 1846)		NHMSYS0000080197					HabDir-A4																	HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Phoca vitulina	Linnaeus, 1758		NBNSYS0000005135	Bern-A3		CMS_A2		HabDir-A2*,HabDir-A5		RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List		NI_Priority		W(NI)O-Sch5	HabReg-Sch4	ConsRegsNI-Sch3	
marine mammal	Phocoena phocoena	(Linnaeus, 1758)		NBNSYS0000005172	Bern-A2		CMS_A2,CMS_ASCOBANS	OSPAR	HabDir-A2*,HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Physeter macrocephalus	Linnaeus, 1758		NBNSYS0000163066	Bern-A2,Bern-A3				HabDir-A4	ECCITES-A	RedList_Global_post2001-VU								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
